number,code,emoji,name,name.var
40,U+1F612,😒,unamused face,unamused_face
41,U+1F644,🙄,face with rolling eyes,face_with_rolling_eyes
42,U+1F62C,😬,grimacing face,grimacing_face
44,U+1F925,🤥,lying face,lying_face
45,U+1F60C,😌,relieved face,relieved_face
46,U+1F614,😔,pensive face,pensive_face
47,U+1F62A,😪,sleepy face,sleepy_face
48,U+1F924,🤤,drooling face,drooling_face
49,U+1F634,😴,sleeping face,sleeping_face
50,U+1F637,😷,face with medical mask,face_with_medical_mask
51,U+1F912,🤒,face with thermometer,face_with_thermometer
52,U+1F915,🤕,face with head-bandage,face_with_head_bandage
53,U+1F922,🤢,nauseated face,nauseated_face
54,U+1F92E,🤮,face vomiting,face_vomiting
55,U+1F927,🤧,sneezing face,sneezing_face
56,U+1F975,🥵,hot face,hot_face
57,U+1F976,🥶,cold face,cold_face
58,U+1F974,🥴,woozy face,woozy_face
59,U+1F635,😵,knocked-out face,knocked_out_face
61,U+1F92F,🤯,exploding head,exploding_head
62,U+1F920,🤠,cowboy hat face,cowboy_hat_face
63,U+1F973,🥳,partying face,partying_face
64,U+1F978,🥸,disguised face,disguised_face
65,U+1F60E,😎,smiling face with sunglasses,smiling_face_with_sunglasses
66,U+1F913,🤓,nerd face,nerd_face
67,U+1F9D0,🧐,face with monocle,face_with_monocle
68,U+1F615,😕,confused face,confused_face
69,U+1F61F,😟,worried face,worried_face
70,U+1F641,🙁,slightly frowning face,slightly_frowning_face
71,U+2639,☹,frowning face,frowning_face
72,U+1F62E,😮,face with open mouth,face_with_open_mouth
73,U+1F62F,😯,hushed face,hushed_face
74,U+1F632,😲,astonished face,astonished_face
75,U+1F633,😳,flushed face,flushed_face
76,U+1F97A,🥺,pleading face,pleading_face
77,U+1F626,😦,frowning face with open mouth,frowning_face_with_open_mouth
78,U+1F627,😧,anguished face,anguished_face
79,U+1F628,😨,fearful face,fearful_face
80,U+1F630,😰,anxious face with sweat,anxious_face_with_sweat
81,U+1F625,😥,sad but relieved face,sad_but_relieved_face
82,U+1F622,😢,crying face,crying_face
83,U+1F62D,😭,loudly crying face,loudly_crying_face
84,U+1F631,😱,face screaming in fear,face_screaming_in_fear
85,U+1F616,😖,confounded face,confounded_face
86,U+1F623,😣,persevering face,persevering_face
87,U+1F61E,😞,disappointed face,disappointed_face
88,U+1F613,😓,downcast face with sweat,downcast_face_with_sweat
89,U+1F629,😩,weary face,weary_face
90,U+1F62B,😫,tired face,tired_face
91,U+1F971,🥱,yawning face,yawning_face
92,U+1F624,😤,face with steam from nose,face_with_steam_from_nose
93,U+1F621,😡,pouting face,pouting_face
94,U+1F620,😠,angry face,angry_face
95,U+1F92C,🤬,face with symbols on mouth,face_with_symbols_on_mouth
96,U+1F608,😈,smiling face with horns,smiling_face_with_horns
97,U+1F47F,👿,angry face with horns,angry_face_with_horns
98,U+1F480,💀,skull,skull
99,U+2620,☠,skull and crossbones,skull_and_crossbones
100,U+1F4A9,💩,pile of poo,pile_of_poo
101,U+1F921,🤡,clown face,clown_face
102,U+1F479,👹,ogre,ogre
103,U+1F47A,👺,goblin,goblin
104,U+1F47B,👻,ghost,ghost
105,U+1F47D,👽,alien,alien
106,U+1F47E,👾,alien monster,alien_monster
107,U+1F916,🤖,robot,robot
108,U+1F63A,😺,grinning cat,grinning_cat
109,U+1F638,😸,grinning cat with smiling eyes,grinning_cat_with_smiling_eyes
110,U+1F639,😹,cat with tears of joy,cat_with_tears_of_joy
111,U+1F63B,😻,smiling cat with heart-eyes,smiling_cat_with_heart_eyes
112,U+1F63C,😼,cat with wry smile,cat_with_wry_smile
113,U+1F63D,😽,kissing cat,kissing_cat
114,U+1F640,🙀,weary cat,weary_cat
115,U+1F63F,😿,crying cat,crying_cat
116,U+1F63E,😾,pouting cat,pouting_cat
117,U+1F648,🙈,see-no-evil monkey,see_no_evil_monkey
118,U+1F649,🙉,hear-no-evil monkey,hear_no_evil_monkey
119,U+1F64A,🙊,speak-no-evil monkey,speak_no_evil_monkey
120,U+1F48B,💋,kiss mark,kiss_mark
121,U+1F48C,💌,love letter,love_letter
122,U+1F498,💘,heart with arrow,heart_with_arrow
123,U+1F49D,💝,heart with ribbon,heart_with_ribbon
124,U+1F496,💖,sparkling heart,sparkling_heart
125,U+1F497,💗,growing heart,growing_heart
126,U+1F493,💓,beating heart,beating_heart
127,U+1F49E,💞,revolving hearts,revolving_hearts
128,U+1F495,💕,two hearts,two_hearts
129,U+1F49F,💟,heart decoration,heart_decoration
130,U+2763,❣,heart exclamation,heart_exclamation
131,U+1F494,💔,broken heart,broken_heart
134,U+2764,❤,red heart,red_heart
135,U+1F9E1,🧡,orange heart,orange_heart
136,U+1F49B,💛,yellow heart,yellow_heart
137,U+1F49A,💚,green heart,green_heart
138,U+1F499,💙,blue heart,blue_heart
139,U+1F49C,💜,purple heart,purple_heart
140,U+1F90E,🤎,brown heart,brown_heart
141,U+1F5A4,🖤,black heart,black_heart
142,U+1F90D,🤍,white heart,white_heart
143,U+1F4AF,💯,hundred points,hundred_points
144,U+1F4A2,💢,anger symbol,anger_symbol
145,U+1F4A5,💥,collision,collision
146,U+1F4AB,💫,dizzy,dizzy
147,U+1F4A6,💦,sweat droplets,sweat_droplets
148,U+1F4A8,💨,dashing away,dashing_away
149,U+1F573,🕳,hole,hole
150,U+1F4A3,💣,bomb,bomb
151,U+1F4AC,💬,speech balloon,speech_balloon
152,U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F,👁️‍🗨️,eye in speech bubble,eye_in_speech_bubble
153,U+1F5E8,🗨,left speech bubble,left_speech_bubble
154,U+1F5EF,🗯,right anger bubble,right_anger_bubble
155,U+1F4AD,💭,thought balloon,thought_balloon
156,U+1F4A4,💤,zzz,zzz
157,U+1F44B,👋,waving hand,waving_hand
158,U+1F91A,🤚,raised back of hand,raised_back_of_hand
159,U+1F590,🖐,hand with fingers splayed,hand_with_fingers_splayed
160,U+270B,✋,raised hand,raised_hand
161,U+1F596,🖖,vulcan salute,vulcan_salute
162,U+1F44C,👌,OK hand,OK_hand
163,U+1F90C,🤌,pinched fingers,pinched_fingers
164,U+1F90F,🤏,pinching hand,pinching_hand
165,U+270C,✌,victory hand,victory_hand
166,U+1F91E,🤞,crossed fingers,crossed_fingers
167,U+1F91F,🤟,love-you gesture,love_you_gesture
168,U+1F918,🤘,sign of the horns,sign_of_the_horns
169,U+1F919,🤙,call me hand,call_me_hand
170,U+1F448,👈,backhand index pointing left,backhand_index_pointing_left
171,U+1F449,👉,backhand index pointing right,backhand_index_pointing_right
172,U+1F446,👆,backhand index pointing up,backhand_index_pointing_up
173,U+1F595,🖕,middle finger,middle_finger
174,U+1F447,👇,backhand index pointing down,backhand_index_pointing_down
175,U+261D,☝,index pointing up,index_pointing_up
176,U+1F44D,👍,thumbs up,thumbs_up
177,U+1F44E,👎,thumbs down,thumbs_down
178,U+270A,✊,raised fist,raised_fist
179,U+1F44A,👊,oncoming fist,oncoming_fist
180,U+1F91B,🤛,left-facing fist,left_facing_fist
181,U+1F91C,🤜,right-facing fist,right_facing_fist
182,U+1F44F,👏,clapping hands,clapping_hands
183,U+1F64C,🙌,raising hands,raising_hands
184,U+1F450,👐,open hands,open_hands
185,U+1F932,🤲,palms up together,palms_up_together
186,U+1F91D,🤝,handshake,handshake
187,U+1F64F,🙏,folded hands,folded_hands
188,U+270D,✍,writing hand,writing_hand
189,U+1F485,💅,nail polish,nail_polish
190,U+1F933,🤳,selfie,selfie
191,U+1F4AA,💪,flexed biceps,flexed_biceps
192,U+1F9BE,🦾,mechanical arm,mechanical_arm
193,U+1F9BF,🦿,mechanical leg,mechanical_leg
194,U+1F9B5,🦵,leg,leg
195,U+1F9B6,🦶,foot,foot
196,U+1F442,👂,ear,ear
197,U+1F9BB,🦻,ear with hearing aid,ear_with_hearing_aid
198,U+1F443,👃,nose,nose
199,U+1F9E0,🧠,brain,brain
200,U+1FAC0,🫀,anatomical heart,anatomical_heart
201,U+1FAC1,🫁,lungs,lungs
202,U+1F9B7,🦷,tooth,tooth
203,U+1F9B4,🦴,bone,bone
204,U+1F440,👀,eyes,eyes
205,U+1F441,👁,eye,eye
206,U+1F445,👅,tongue,tongue
207,U+1F444,👄,mouth,mouth
208,U+1F476,👶,baby,baby
209,U+1F9D2,🧒,child,child
210,U+1F466,👦,boy,boy
211,U+1F467,👧,girl,girl
212,U+1F9D1,🧑,person,person
213,U+1F471,👱,person: blond hair,person_blond_hair
214,U+1F468,👨,man,man
215,U+1F9D4,🧔,person: beard,person_beard
218,U+1F468 U+200D U+1F9B0,👨‍🦰,man: red hair,man_red_hair
219,U+1F468 U+200D U+1F9B1,👨‍🦱,man: curly hair,man_curly_hair
220,U+1F468 U+200D U+1F9B3,👨‍🦳,man: white hair,man_white_hair
221,U+1F468 U+200D U+1F9B2,👨‍🦲,man: bald,man_bald
222,U+1F469,👩,woman,woman
223,U+1F469 U+200D U+1F9B0,👩‍🦰,woman: red hair,woman_red_hair
224,U+1F9D1 U+200D U+1F9B0,🧑‍🦰,person: red hair,person_red_hair
225,U+1F469 U+200D U+1F9B1,👩‍🦱,woman: curly hair,woman_curly_hair
226,U+1F9D1 U+200D U+1F9B1,🧑‍🦱,person: curly hair,person_curly_hair
227,U+1F469 U+200D U+1F9B3,👩‍🦳,woman: white hair,woman_white_hair
228,U+1F9D1 U+200D U+1F9B3,🧑‍🦳,person: white hair,person_white_hair
229,U+1F469 U+200D U+1F9B2,👩‍🦲,woman: bald,woman_bald
230,U+1F9D1 U+200D U+1F9B2,🧑‍🦲,person: bald,person_bald
