number,code,emoji,name,name.var
435,U+1F3CB U+FE0F U+200D U+2642 U+FE0F,🏋️‍♂️,man lifting weights,man_lifting_weights
436,U+1F3CB U+FE0F U+200D U+2640 U+FE0F,🏋️‍♀️,woman lifting weights,woman_lifting_weights
437,U+1F6B4,🚴,person biking,person_biking
438,U+1F6B4 U+200D U+2642 U+FE0F,🚴‍♂️,man biking,man_biking
439,U+1F6B4 U+200D U+2640 U+FE0F,🚴‍♀️,woman biking,woman_biking
440,U+1F6B5,🚵,person mountain biking,person_mountain_biking
441,U+1F6B5 U+200D U+2642 U+FE0F,🚵‍♂️,man mountain biking,man_mountain_biking
442,U+1F6B5 U+200D U+2640 U+FE0F,🚵‍♀️,woman mountain biking,woman_mountain_biking
443,U+1F938,🤸,person cartwheeling,person_cartwheeling
444,U+1F938 U+200D U+2642 U+FE0F,🤸‍♂️,man cartwheeling,man_cartwheeling
445,U+1F938 U+200D U+2640 U+FE0F,🤸‍♀️,woman cartwheeling,woman_cartwheeling
446,U+1F93C,🤼,people wrestling,people_wrestling
447,U+1F93C U+200D U+2642 U+FE0F,🤼‍♂️,men wrestling,men_wrestling
448,U+1F93C U+200D U+2640 U+FE0F,🤼‍♀️,women wrestling,women_wrestling
449,U+1F93D,🤽,person playing water polo,person_playing_water_polo
450,U+1F93D U+200D U+2642 U+FE0F,🤽‍♂️,man playing water polo,man_playing_water_polo
451,U+1F93D U+200D U+2640 U+FE0F,🤽‍♀️,woman playing water polo,woman_playing_water_polo
452,U+1F93E,🤾,person playing handball,person_playing_handball
453,U+1F93E U+200D U+2642 U+FE0F,🤾‍♂️,man playing handball,man_playing_handball
454,U+1F93E U+200D U+2640 U+FE0F,🤾‍♀️,woman playing handball,woman_playing_handball
455,U+1F939,🤹,person juggling,person_juggling
456,U+1F939 U+200D U+2642 U+FE0F,🤹‍♂️,man juggling,man_juggling
457,U+1F939 U+200D U+2640 U+FE0F,🤹‍♀️,woman juggling,woman_juggling
458,U+1F9D8,🧘,person in lotus position,person_in_lotus_position
459,U+1F9D8 U+200D U+2642 U+FE0F,🧘‍♂️,man in lotus position,man_in_lotus_position
460,U+1F9D8 U+200D U+2640 U+FE0F,🧘‍♀️,woman in lotus position,woman_in_lotus_position
461,U+1F6C0,🛀,person taking bath,person_taking_bath
462,U+1F6CC,🛌,person in bed,person_in_bed
463,U+1F9D1 U+200D U+1F91D U+200D U+1F9D1,🧑‍🤝‍🧑,people holding hands,people_holding_hands
464,U+1F46D,👭,women holding hands,women_holding_hands
465,U+1F46B,👫,woman and man holding hands,woman_and_man_holding_hands
466,U+1F46C,👬,men holding hands,men_holding_hands
467,U+1F48F,💏,kiss,kiss
468,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,👩‍❤️‍💋‍👨,"kiss: woman, man",kiss_woman_man
469,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,👨‍❤️‍💋‍👨,"kiss: man, man",kiss_man_man
470,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,👩‍❤️‍💋‍👩,"kiss: woman, woman",kiss_woman_woman
471,U+1F491,💑,couple with heart,couple_with_heart
472,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,👩‍❤️‍👨,"couple with heart: woman, man",couple_with_heart_woman_man
473,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,👨‍❤️‍👨,"couple with heart: man, man",couple_with_heart_man_man
474,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,👩‍❤️‍👩,"couple with heart: woman, woman",couple_with_heart_woman_woman
475,U+1F46A,👪,family,family
476,U+1F468 U+200D U+1F469 U+200D U+1F466,👨‍👩‍👦,"family: man, woman, boy",family_man_woman_boy
477,U+1F468 U+200D U+1F469 U+200D U+1F467,👨‍👩‍👧,"family: man, woman, girl",family_man_woman_girl
478,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,👨‍👩‍👧‍👦,"family: man, woman, girl, boy",family_man_woman_girl_boy
479,U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,👨‍👩‍👦‍👦,"family: man, woman, boy, boy",family_man_woman_boy_boy
480,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,👨‍👩‍👧‍👧,"family: man, woman, girl, girl",family_man_woman_girl_girl
481,U+1F468 U+200D U+1F468 U+200D U+1F466,👨‍👨‍👦,"family: man, man, boy",family_man_man_boy
482,U+1F468 U+200D U+1F468 U+200D U+1F467,👨‍👨‍👧,"family: man, man, girl",family_man_man_girl
483,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,👨‍👨‍👧‍👦,"family: man, man, girl, boy",family_man_man_girl_boy
484,U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,👨‍👨‍👦‍👦,"family: man, man, boy, boy",family_man_man_boy_boy
485,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,👨‍👨‍👧‍👧,"family: man, man, girl, girl",family_man_man_girl_girl
486,U+1F469 U+200D U+1F469 U+200D U+1F466,👩‍👩‍👦,"family: woman, woman, boy",family_woman_woman_boy
487,U+1F469 U+200D U+1F469 U+200D U+1F467,👩‍👩‍👧,"family: woman, woman, girl",family_woman_woman_girl
488,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,👩‍👩‍👧‍👦,"family: woman, woman, girl, boy",family_woman_woman_girl_boy
489,U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,👩‍👩‍👦‍👦,"family: woman, woman, boy, boy",family_woman_woman_boy_boy
490,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,👩‍👩‍👧‍👧,"family: woman, woman, girl, girl",family_woman_woman_girl_girl
491,U+1F468 U+200D U+1F466,👨‍👦,"family: man, boy",family_man_boy
492,U+1F468 U+200D U+1F466 U+200D U+1F466,👨‍👦‍👦,"family: man, boy, boy",family_man_boy_boy
493,U+1F468 U+200D U+1F467,👨‍👧,"family: man, girl",family_man_girl
494,U+1F468 U+200D U+1F467 U+200D U+1F466,👨‍👧‍👦,"family: man, girl, boy",family_man_girl_boy
495,U+1F468 U+200D U+1F467 U+200D U+1F467,👨‍👧‍👧,"family: man, girl, girl",family_man_girl_girl
496,U+1F469 U+200D U+1F466,👩‍👦,"family: woman, boy",family_woman_boy
497,U+1F469 U+200D U+1F466 U+200D U+1F466,👩‍👦‍👦,"family: woman, boy, boy",family_woman_boy_boy
498,U+1F469 U+200D U+1F467,👩‍👧,"family: woman, girl",family_woman_girl
499,U+1F469 U+200D U+1F467 U+200D U+1F466,👩‍👧‍👦,"family: woman, girl, boy",family_woman_girl_boy
500,U+1F469 U+200D U+1F467 U+200D U+1F467,👩‍👧‍👧,"family: woman, girl, girl",family_woman_girl_girl
501,U+1F5E3,🗣,speaking head,speaking_head
502,U+1F464,👤,bust in silhouette,bust_in_silhouette
503,U+1F465,👥,busts in silhouette,busts_in_silhouette
504,U+1FAC2,🫂,people hugging,people_hugging
505,U+1F463,👣,footprints,footprints
506,U+1F9B0,🦰,red hair,red_hair
507,U+1F9B1,🦱,curly hair,curly_hair
508,U+1F9B3,🦳,white hair,white_hair
509,U+1F9B2,🦲,bald,bald
510,U+1F435,🐵,monkey face,monkey_face
511,U+1F412,🐒,monkey,monkey
512,U+1F98D,🦍,gorilla,gorilla
513,U+1F9A7,🦧,orangutan,orangutan
514,U+1F436,🐶,dog face,dog_face
515,U+1F415,🐕,dog,dog
516,U+1F9AE,🦮,guide dog,guide_dog
517,U+1F415 U+200D U+1F9BA,🐕‍🦺,service dog,service_dog
518,U+1F429,🐩,poodle,poodle
519,U+1F43A,🐺,wolf,wolf
520,U+1F98A,🦊,fox,fox
521,U+1F99D,🦝,raccoon,raccoon
522,U+1F431,🐱,cat face,cat_face
523,U+1F408,🐈,cat,cat
524,U+1F408 U+200D U+2B1B,🐈‍⬛,black cat,black_cat
525,U+1F981,🦁,lion,lion
526,U+1F42F,🐯,tiger face,tiger_face
527,U+1F405,🐅,tiger,tiger
528,U+1F406,🐆,leopard,leopard
529,U+1F434,🐴,horse face,horse_face
530,U+1F40E,🐎,horse,horse
531,U+1F984,🦄,unicorn,unicorn
532,U+1F993,🦓,zebra,zebra
533,U+1F98C,🦌,deer,deer
534,U+1F9AC,🦬,bison,bison
535,U+1F42E,🐮,cow face,cow_face
536,U+1F402,🐂,ox,ox
537,U+1F403,🐃,water buffalo,water_buffalo
538,U+1F404,🐄,cow,cow
539,U+1F437,🐷,pig face,pig_face
540,U+1F416,🐖,pig,pig
541,U+1F417,🐗,boar,boar
542,U+1F43D,🐽,pig nose,pig_nose
543,U+1F40F,🐏,ram,ram
544,U+1F411,🐑,ewe,ewe
545,U+1F410,🐐,goat,goat
546,U+1F42A,🐪,camel,camel
547,U+1F42B,🐫,two-hump camel,two_hump_camel
548,U+1F999,🦙,llama,llama
549,U+1F992,🦒,giraffe,giraffe
550,U+1F418,🐘,elephant,elephant
551,U+1F9A3,🦣,mammoth,mammoth
552,U+1F98F,🦏,rhinoceros,rhinoceros
553,U+1F99B,🦛,hippopotamus,hippopotamus
554,U+1F42D,🐭,mouse face,mouse_face
555,U+1F401,🐁,mouse,mouse
556,U+1F400,🐀,rat,rat
557,U+1F439,🐹,hamster,hamster
558,U+1F430,🐰,rabbit face,rabbit_face
559,U+1F407,🐇,rabbit,rabbit
560,U+1F43F,🐿,chipmunk,chipmunk
561,U+1F9AB,🦫,beaver,beaver
562,U+1F994,🦔,hedgehog,hedgehog
563,U+1F987,🦇,bat,bat
564,U+1F43B,🐻,bear,bear
565,U+1F43B U+200D U+2744 U+FE0F,🐻‍❄️,polar bear,polar_bear
566,U+1F428,🐨,koala,koala
567,U+1F43C,🐼,panda,panda
568,U+1F9A5,🦥,sloth,sloth
569,U+1F9A6,🦦,otter,otter
570,U+1F9A8,🦨,skunk,skunk
571,U+1F998,🦘,kangaroo,kangaroo
572,U+1F9A1,🦡,badger,badger
573,U+1F43E,🐾,paw prints,paw_prints
574,U+1F983,🦃,turkey,turkey
575,U+1F414,🐔,chicken,chicken
576,U+1F413,🐓,rooster,rooster
577,U+1F423,🐣,hatching chick,hatching_chick
578,U+1F424,🐤,baby chick,baby_chick
579,U+1F425,🐥,front-facing baby chick,front_facing_baby_chick
580,U+1F426,🐦,bird,bird
581,U+1F427,🐧,penguin,penguin
582,U+1F54A,🕊,dove,dove
583,U+1F985,🦅,eagle,eagle
584,U+1F986,🦆,duck,duck
585,U+1F9A2,🦢,swan,swan
586,U+1F989,🦉,owl,owl
587,U+1F9A4,🦤,dodo,dodo
588,U+1FAB6,🪶,feather,feather
589,U+1F9A9,🦩,flamingo,flamingo
590,U+1F99A,🦚,peacock,peacock
591,U+1F99C,🦜,parrot,parrot
592,U+1F438,🐸,frog,frog
593,U+1F40A,🐊,crocodile,crocodile
594,U+1F422,🐢,turtle,turtle
595,U+1F98E,🦎,lizard,lizard
596,U+1F40D,🐍,snake,snake
597,U+1F432,🐲,dragon face,dragon_face
598,U+1F409,🐉,dragon,dragon
599,U+1F995,🦕,sauropod,sauropod
600,U+1F996,🦖,T-Rex,T_Rex
601,U+1F433,🐳,spouting whale,spouting_whale
602,U+1F40B,🐋,whale,whale
603,U+1F42C,🐬,dolphin,dolphin
604,U+1F9AD,🦭,seal,seal
605,U+1F41F,🐟,fish,fish
606,U+1F420,🐠,tropical fish,tropical_fish
607,U+1F421,🐡,blowfish,blowfish
608,U+1F988,🦈,shark,shark
609,U+1F419,🐙,octopus,octopus
610,U+1F41A,🐚,spiral shell,spiral_shell
611,U+1F40C,🐌,snail,snail
612,U+1F98B,🦋,butterfly,butterfly
613,U+1F41B,🐛,bug,bug
614,U+1F41C,🐜,ant,ant
615,U+1F41D,🐝,honeybee,honeybee
616,U+1FAB2,🪲,beetle,beetle
617,U+1F41E,🐞,lady beetle,lady_beetle
618,U+1F997,🦗,cricket,cricket
619,U+1FAB3,🪳,cockroach,cockroach
620,U+1F577,🕷,spider,spider
621,U+1F578,🕸,spider web,spider_web
622,U+1F982,🦂,scorpion,scorpion
623,U+1F99F,🦟,mosquito,mosquito
624,U+1FAB0,🪰,fly,fly
625,U+1FAB1,🪱,worm,worm
626,U+1F9A0,🦠,microbe,microbe
627,U+1F490,💐,bouquet,bouquet
628,U+1F338,🌸,cherry blossom,cherry_blossom
629,U+1F4AE,💮,white flower,white_flower
630,U+1F3F5,🏵,rosette,rosette
631,U+1F339,🌹,rose,rose
632,U+1F940,🥀,wilted flower,wilted_flower
633,U+1F33A,🌺,hibiscus,hibiscus
634,U+1F33B,🌻,sunflower,sunflower
635,U+1F33C,🌼,blossom,blossom
636,U+1F337,🌷,tulip,tulip
637,U+1F331,🌱,seedling,seedling
638,U+1FAB4,🪴,potted plant,potted_plant
639,U+1F332,🌲,evergreen tree,evergreen_tree
640,U+1F333,🌳,deciduous tree,deciduous_tree
641,U+1F334,🌴,palm tree,palm_tree
642,U+1F335,🌵,cactus,cactus
643,U+1F33E,🌾,sheaf of rice,sheaf_of_rice
644,U+1F33F,🌿,herb,herb
645,U+2618,☘,shamrock,shamrock
646,U+1F340,🍀,four leaf clover,four_leaf_clover
647,U+1F341,🍁,maple leaf,maple_leaf
648,U+1F342,🍂,fallen leaf,fallen_leaf
649,U+1F343,🍃,leaf fluttering in wind,leaf_fluttering_in_wind
650,U+1F347,🍇,grapes,grapes
651,U+1F348,🍈,melon,melon
652,U+1F349,🍉,watermelon,watermelon
653,U+1F34A,🍊,tangerine,tangerine
654,U+1F34B,🍋,lemon,lemon
655,U+1F34C,🍌,banana,banana
656,U+1F34D,🍍,pineapple,pineapple
657,U+1F96D,🥭,mango,mango
658,U+1F34E,🍎,red apple,red_apple
659,U+1F34F,🍏,green apple,green_apple
660,U+1F350,🍐,pear,pear
661,U+1F351,🍑,peach,peach
662,U+1F352,🍒,cherries,cherries
663,U+1F353,🍓,strawberry,strawberry
664,U+1FAD0,🫐,blueberries,blueberries
665,U+1F95D,🥝,kiwi fruit,kiwi_fruit
666,U+1F345,🍅,tomato,tomato
667,U+1FAD2,🫒,olive,olive
668,U+1F965,🥥,coconut,coconut
669,U+1F951,🥑,avocado,avocado
670,U+1F346,🍆,eggplant,eggplant
671,U+1F954,🥔,potato,potato
672,U+1F955,🥕,carrot,carrot
673,U+1F33D,🌽,ear of corn,ear_of_corn
674,U+1F336,🌶,hot pepper,hot_pepper
675,U+1FAD1,🫑,bell pepper,bell_pepper
676,U+1F952,🥒,cucumber,cucumber
677,U+1F96C,🥬,leafy green,leafy_green
678,U+1F966,🥦,broccoli,broccoli
679,U+1F9C4,🧄,garlic,garlic
680,U+1F9C5,🧅,onion,onion
681,U+1F344,🍄,mushroom,mushroom
682,U+1F95C,🥜,peanuts,peanuts
683,U+1F330,🌰,chestnut,chestnut
684,U+1F35E,🍞,bread,bread
685,U+1F950,🥐,croissant,croissant
686,U+1F956,🥖,baguette bread,baguette_bread
687,U+1FAD3,🫓,flatbread,flatbread
688,U+1F968,🥨,pretzel,pretzel
689,U+1F96F,🥯,bagel,bagel
690,U+1F95E,🥞,pancakes,pancakes
691,U+1F9C7,🧇,waffle,waffle
692,U+1F9C0,🧀,cheese wedge,cheese_wedge
693,U+1F356,🍖,meat on bone,meat_on_bone
694,U+1F357,🍗,poultry leg,poultry_leg
695,U+1F969,🥩,cut of meat,cut_of_meat
696,U+1F953,🥓,bacon,bacon
697,U+1F354,🍔,hamburger,hamburger
698,U+1F35F,🍟,french fries,french_fries
699,U+1F355,🍕,pizza,pizza
700,U+1F32D,🌭,hot dog,hot_dog
701,U+1F96A,🥪,sandwich,sandwich
702,U+1F32E,🌮,taco,taco
703,U+1F32F,🌯,burrito,burrito
704,U+1FAD4,🫔,tamale,tamale
705,U+1F959,🥙,stuffed flatbread,stuffed_flatbread
706,U+1F9C6,🧆,falafel,falafel
707,U+1F95A,🥚,egg,egg
708,U+1F373,🍳,cooking,cooking
709,U+1F958,🥘,shallow pan of food,shallow_pan_of_food
710,U+1F372,🍲,pot of food,pot_of_food
711,U+1FAD5,🫕,fondue,fondue
712,U+1F963,🥣,bowl with spoon,bowl_with_spoon
713,U+1F957,🥗,green salad,green_salad
714,U+1F37F,🍿,popcorn,popcorn
715,U+1F9C8,🧈,butter,butter
716,U+1F9C2,🧂,salt,salt
717,U+1F96B,🥫,canned food,canned_food
718,U+1F371,🍱,bento box,bento_box
719,U+1F358,🍘,rice cracker,rice_cracker
720,U+1F359,🍙,rice ball,rice_ball
721,U+1F35A,🍚,cooked rice,cooked_rice
722,U+1F35B,🍛,curry rice,curry_rice
723,U+1F35C,🍜,steaming bowl,steaming_bowl
724,U+1F35D,🍝,spaghetti,spaghetti
725,U+1F360,🍠,roasted sweet potato,roasted_sweet_potato
726,U+1F362,🍢,oden,oden
727,U+1F363,🍣,sushi,sushi
728,U+1F364,🍤,fried shrimp,fried_shrimp
729,U+1F365,🍥,fish cake with swirl,fish_cake_with_swirl
730,U+1F96E,🥮,moon cake,moon_cake
731,U+1F361,🍡,dango,dango
732,U+1F95F,🥟,dumpling,dumpling
733,U+1F960,🥠,fortune cookie,fortune_cookie
734,U+1F961,🥡,takeout box,takeout_box
735,U+1F980,🦀,crab,crab
736,U+1F99E,🦞,lobster,lobster
737,U+1F990,🦐,shrimp,shrimp
738,U+1F991,🦑,squid,squid
739,U+1F9AA,🦪,oyster,oyster
740,U+1F366,🍦,soft ice cream,soft_ice_cream
741,U+1F367,🍧,shaved ice,shaved_ice
742,U+1F368,🍨,ice cream,ice_cream
743,U+1F369,🍩,doughnut,doughnut
744,U+1F36A,🍪,cookie,cookie
745,U+1F382,🎂,birthday cake,birthday_cake
746,U+1F370,🍰,shortcake,shortcake
747,U+1F9C1,🧁,cupcake,cupcake
748,U+1F967,🥧,pie,pie
749,U+1F36B,🍫,chocolate bar,chocolate_bar
750,U+1F36C,🍬,candy,candy
751,U+1F36D,🍭,lollipop,lollipop
752,U+1F36E,🍮,custard,custard
753,U+1F36F,🍯,honey pot,honey_pot
754,U+1F37C,🍼,baby bottle,baby_bottle
755,U+1F95B,🥛,glass of milk,glass_of_milk
756,U+2615,☕,hot beverage,hot_beverage
757,U+1FAD6,🫖,teapot,teapot
758,U+1F375,🍵,teacup without handle,teacup_without_handle
759,U+1F376,🍶,sake,sake
760,U+1F37E,🍾,bottle with popping cork,bottle_with_popping_cork
761,U+1F377,🍷,wine glass,wine_glass
762,U+1F378,🍸,cocktail glass,cocktail_glass
763,U+1F379,🍹,tropical drink,tropical_drink
764,U+1F37A,🍺,beer mug,beer_mug
765,U+1F37B,🍻,clinking beer mugs,clinking_beer_mugs
766,U+1F942,🥂,clinking glasses,clinking_glasses
767,U+1F943,🥃,tumbler glass,tumbler_glass
768,U+1F964,🥤,cup with straw,cup_with_straw
769,U+1F9CB,🧋,bubble tea,bubble_tea
770,U+1F9C3,🧃,beverage box,beverage_box
771,U+1F9C9,🧉,mate,mate
772,U+1F9CA,🧊,ice,ice
773,U+1F962,🥢,chopsticks,chopsticks
774,U+1F37D,🍽,fork and knife with plate,fork_and_knife_with_plate
775,U+1F374,🍴,fork and knife,fork_and_knife
776,U+1F944,🥄,spoon,spoon
777,U+1F52A,🔪,kitchen knife,kitchen_knife
778,U+1F3FA,🏺,amphora,amphora
779,U+1F30D,🌍,globe showing Europe-Africa,globe_showing_Europe_Africa
780,U+1F30E,🌎,globe showing Americas,globe_showing_Americas
781,U+1F30F,🌏,globe showing Asia-Australia,globe_showing_Asia_Australia
782,U+1F310,🌐,globe with meridians,globe_with_meridians
783,U+1F5FA,🗺,world map,world_map
784,U+1F5FE,🗾,map of Japan,map_of_Japan
785,U+1F9ED,🧭,compass,compass
786,U+1F3D4,🏔,snow-capped mountain,snow_capped_mountain
787,U+26F0,⛰,mountain,mountain
788,U+1F30B,🌋,volcano,volcano
789,U+1F5FB,🗻,mount fuji,mount_fuji
790,U+1F3D5,🏕,camping,camping
791,U+1F3D6,🏖,beach with umbrella,beach_with_umbrella
792,U+1F3DC,🏜,desert,desert
793,U+1F3DD,🏝,desert island,desert_island
794,U+1F3DE,🏞,national park,national_park
795,U+1F3DF,🏟,stadium,stadium
796,U+1F3DB,🏛,classical building,classical_building
797,U+1F3D7,🏗,building construction,building_construction
798,U+1F9F1,🧱,brick,brick
799,U+1FAA8,🪨,rock,rock
800,U+1FAB5,🪵,wood,wood
801,U+1F6D6,🛖,hut,hut
802,U+1F3D8,🏘,houses,houses
803,U+1F3DA,🏚,derelict house,derelict_house
804,U+1F3E0,🏠,house,house
805,U+1F3E1,🏡,house with garden,house_with_garden
806,U+1F3E2,🏢,office building,office_building
807,U+1F3E3,🏣,Japanese post office,Japanese_post_office
808,U+1F3E4,🏤,post office,post_office
809,U+1F3E5,🏥,hospital,hospital
810,U+1F3E6,🏦,bank,bank
811,U+1F3E8,🏨,hotel,hotel
812,U+1F3E9,🏩,love hotel,love_hotel
813,U+1F3EA,🏪,convenience store,convenience_store
814,U+1F3EB,🏫,school,school
815,U+1F3EC,🏬,department store,department_store
816,U+1F3ED,🏭,factory,factory
817,U+1F3EF,🏯,Japanese castle,Japanese_castle
818,U+1F3F0,🏰,castle,castle
819,U+1F492,💒,wedding,wedding
820,U+1F5FC,🗼,Tokyo tower,Tokyo_tower
821,U+1F5FD,🗽,Statue of Liberty,Statue_of_Liberty
822,U+26EA,⛪,church,church
823,U+1F54C,🕌,mosque,mosque
824,U+1F6D5,🛕,hindu temple,hindu_temple
825,U+1F54D,🕍,synagogue,synagogue
826,U+26E9,⛩,shinto shrine,shinto_shrine
827,U+1F54B,🕋,kaaba,kaaba
828,U+26F2,⛲,fountain,fountain
829,U+26FA,⛺,tent,tent
830,U+1F301,🌁,foggy,foggy
831,U+1F303,🌃,night with stars,night_with_stars
832,U+1F3D9,🏙,cityscape,cityscape
833,U+1F304,🌄,sunrise over mountains,sunrise_over_mountains
834,U+1F305,🌅,sunrise,sunrise
835,U+1F306,🌆,cityscape at dusk,cityscape_at_dusk
836,U+1F307,🌇,sunset,sunset
837,U+1F309,🌉,bridge at night,bridge_at_night
838,U+2668,♨,hot springs,hot_springs
839,U+1F3A0,🎠,carousel horse,carousel_horse
840,U+1F3A1,🎡,ferris wheel,ferris_wheel
841,U+1F3A2,🎢,roller coaster,roller_coaster
842,U+1F488,💈,barber pole,barber_pole
843,U+1F3AA,🎪,circus tent,circus_tent
844,U+1F682,🚂,locomotive,locomotive
845,U+1F683,🚃,railway car,railway_car
846,U+1F684,🚄,high-speed train,high_speed_train
847,U+1F685,🚅,bullet train,bullet_train
848,U+1F686,🚆,train,train
849,U+1F687,🚇,metro,metro
850,U+1F688,🚈,light rail,light_rail
851,U+1F689,🚉,station,station
852,U+1F68A,🚊,tram,tram
853,U+1F69D,🚝,monorail,monorail
854,U+1F69E,🚞,mountain railway,mountain_railway
855,U+1F68B,🚋,tram car,tram_car
856,U+1F68C,🚌,bus,bus
857,U+1F68D,🚍,oncoming bus,oncoming_bus
858,U+1F68E,🚎,trolleybus,trolleybus
859,U+1F690,🚐,minibus,minibus
860,U+1F691,🚑,ambulance,ambulance
861,U+1F692,🚒,fire engine,fire_engine
862,U+1F693,🚓,police car,police_car
863,U+1F694,🚔,oncoming police car,oncoming_police_car
864,U+1F695,🚕,taxi,taxi
865,U+1F696,🚖,oncoming taxi,oncoming_taxi
866,U+1F697,🚗,automobile,automobile
867,U+1F698,🚘,oncoming automobile,oncoming_automobile
868,U+1F699,🚙,sport utility vehicle,sport_utility_vehicle
869,U+1F6FB,🛻,pickup truck,pickup_truck
870,U+1F69A,🚚,delivery truck,delivery_truck
871,U+1F69B,🚛,articulated lorry,articulated_lorry
872,U+1F69C,🚜,tractor,tractor
873,U+1F3CE,🏎,racing car,racing_car
874,U+1F3CD,🏍,motorcycle,motorcycle
875,U+1F6F5,🛵,motor scooter,motor_scooter
876,U+1F9BD,🦽,manual wheelchair,manual_wheelchair
877,U+1F9BC,🦼,motorized wheelchair,motorized_wheelchair
878,U+1F6FA,🛺,auto rickshaw,auto_rickshaw
879,U+1F6B2,🚲,bicycle,bicycle
880,U+1F6F4,🛴,kick scooter,kick_scooter
881,U+1F6F9,🛹,skateboard,skateboard
882,U+1F6FC,🛼,roller skate,roller_skate
883,U+1F68F,🚏,bus stop,bus_stop
884,U+1F6E3,🛣,motorway,motorway
885,U+1F6E4,🛤,railway track,railway_track
886,U+1F6E2,🛢,oil drum,oil_drum
887,U+26FD,⛽,fuel pump,fuel_pump
888,U+1F6A8,🚨,police car light,police_car_light
889,U+1F6A5,🚥,horizontal traffic light,horizontal_traffic_light
890,U+1F6A6,🚦,vertical traffic light,vertical_traffic_light
891,U+1F6D1,🛑,stop sign,stop_sign
892,U+1F6A7,🚧,construction,construction
893,U+2693,⚓,anchor,anchor
894,U+26F5,⛵,sailboat,sailboat
895,U+1F6F6,🛶,canoe,canoe
896,U+1F6A4,🚤,speedboat,speedboat
897,U+1F6F3,🛳,passenger ship,passenger_ship
898,U+26F4,⛴,ferry,ferry
899,U+1F6E5,🛥,motor boat,motor_boat
900,U+1F6A2,🚢,ship,ship
901,U+2708,✈,airplane,airplane
902,U+1F6E9,🛩,small airplane,small_airplane
903,U+1F6EB,🛫,airplane departure,airplane_departure
904,U+1F6EC,🛬,airplane arrival,airplane_arrival
905,U+1FA82,🪂,parachute,parachute
906,U+1F4BA,💺,seat,seat
907,U+1F681,🚁,helicopter,helicopter
908,U+1F69F,🚟,suspension railway,suspension_railway
909,U+1F6A0,🚠,mountain cableway,mountain_cableway
910,U+1F6A1,🚡,aerial tramway,aerial_tramway
911,U+1F6F0,🛰,satellite,satellite
912,U+1F680,🚀,rocket,rocket
913,U+1F6F8,🛸,flying saucer,flying_saucer
914,U+1F6CE,🛎,bellhop bell,bellhop_bell
915,U+1F9F3,🧳,luggage,luggage
916,U+231B,⌛,hourglass done,hourglass_done
917,U+23F3,⏳,hourglass not done,hourglass_not_done
918,U+231A,⌚,watch,watch
919,U+23F0,⏰,alarm clock,alarm_clock
920,U+23F1,⏱,stopwatch,stopwatch
921,U+23F2,⏲,timer clock,timer_clock
922,U+1F570,🕰,mantelpiece clock,mantelpiece_clock
923,U+1F55B,🕛,twelve o’clock,twelve_o_clock
924,U+1F567,🕧,twelve-thirty,twelve_thirty
925,U+1F550,🕐,one o’clock,one_o_clock
926,U+1F55C,🕜,one-thirty,one_thirty
927,U+1F551,🕑,two o’clock,two_o_clock
928,U+1F55D,🕝,two-thirty,two_thirty
929,U+1F552,🕒,three o’clock,three_o_clock
930,U+1F55E,🕞,three-thirty,three_thirty
931,U+1F553,🕓,four o’clock,four_o_clock
932,U+1F55F,🕟,four-thirty,four_thirty
933,U+1F554,🕔,five o’clock,five_o_clock
934,U+1F560,🕠,five-thirty,five_thirty
935,U+1F555,🕕,six o’clock,six_o_clock
936,U+1F561,🕡,six-thirty,six_thirty
937,U+1F556,🕖,seven o’clock,seven_o_clock
938,U+1F562,🕢,seven-thirty,seven_thirty
939,U+1F557,🕗,eight o’clock,eight_o_clock
940,U+1F563,🕣,eight-thirty,eight_thirty
941,U+1F558,🕘,nine o’clock,nine_o_clock
942,U+1F564,🕤,nine-thirty,nine_thirty
943,U+1F559,🕙,ten o’clock,ten_o_clock
944,U+1F565,🕥,ten-thirty,ten_thirty
945,U+1F55A,🕚,eleven o’clock,eleven_o_clock
946,U+1F566,🕦,eleven-thirty,eleven_thirty
947,U+1F311,🌑,new moon,new_moon
948,U+1F312,🌒,waxing crescent moon,waxing_crescent_moon
949,U+1F313,🌓,first quarter moon,first_quarter_moon
950,U+1F314,🌔,waxing gibbous moon,waxing_gibbous_moon
951,U+1F315,🌕,full moon,full_moon
