"author","title","description","url","urlToImage","publishedAt","content","id","name"
"Kareem Fahim","Bahrain releases its best-known human rights activist after nearly four years in prison","Nabeel Rajab was detained on charges related to expressing anti-government dissent.","https://www.washingtonpost.com/world/middle_east/bahrain-releases-its-best-known-human-rights-activist-after-nearly-four-years-in-prison/2020/06/09/eca4caca-aa83-11ea-a43b-be9f6494a87d_story.html","https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/L4BRTGVKSQI6VFGS266EHMTL7E.jpg&w=1440","2020-06-09T21:15:39Z","Rajabs prosecution became the most prominent example of Bahrains vigorous clampdown on dissenters in the years after the state forcefully quashed a pro-democracy uprising in 2011. His imprisonment, o… [+2403 chars]","the-washington-post","The Washington Post"
"Paul Waldman, Greg Sargent","Georgia debacle shows we’re heading toward an election disaster in November","Georgia's primary is a mess, and it reminds us of the problems we're facing in the general election.","https://www.washingtonpost.com/opinions/2020/06/09/georgia-debacle-shows-were-heading-toward-an-election-disaster-november/","https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/PZ4CUWVKPII6VJB3X2PWJFFIPU.jpg&w=1440","2020-06-09T21:01:15Z","In theory thats a big improvement over the previous system, which created no paper record and therefore could not be rechecked if there was a dispute or the need for a recount. But the new system has… [+4892 chars]","the-washington-post","The Washington Post"
"Scott Allen","D.C. Sports Hall of Fame announces 2020 class, including title-winning Nats and Mystics","Herman Boone, Gary Clark and Jill Ellis are among the eight individual inductees.","https://www.washingtonpost.com/sports/2020/06/09/dc-sports-hall-fame-announces-2020-class-including-title-winning-nats-mystics/","https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/MTL446BB5QI6VMBU3Z64FNIZTM.jpg&w=1440","2020-06-09T20:51:11Z","The 2019 Washington Nationals and Washington Mystics will be honored as Teams of Distinction after capturing their first titles last year, while radio personality Ken Beatrice, former No. 1 overall N… [+4474 chars]","the-washington-post","The Washington Post"
"Ian Livingston","PM Update: Turning even more humid, with heat index values approaching 100 on Wednesday","Late-day storms are possible Wednesday, but they may also tend to stay to the west.","https://www.washingtonpost.com/weather/2020/06/09/pm-update-turning-even-more-humid-with-heat-index-values-approaching-100-wednesday/","https://www.washingtonpost.com/resizer/tCvtxIeTrP2jc3tsb___6HGjgrQ=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/7BTNQAGLWVFUVJMCX22SYM24TY.png","2020-06-09T20:45:46Z","Our time outside the sauna has come to an end as south winds continue to pump increasingly tropical air into the region. Highs near 90 are just the sweaty icing on todays cake. Any chance of a coolin… [+1836 chars]","the-washington-post","The Washington Post"
"Anthony Faiola, Lucien Chauvin","The coronavirus pandemic has gutted the price of the coca leaf. It could reshape the cocaine trade.","Supply chain disruptions are threatening small operators. The upheaval could allow cartels to consolidate and grow.","https://www.washingtonpost.com/world/the_americas/coronavirus-coca-crash-bolivia-colombia-peru-latin-america/2020/06/09/8c7da42c-a11f-11ea-be06-af5514ee0385_story.html","https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/D4QU6YFEJUI6VCMOWINZVA7XSI.jpg&w=1440","2020-06-09T20:38:00Z","The great coca crash of 2020 prices for the leaf in some regions of South America have fallen as much as 73 percent illustrates the extent to which the pandemic is disrupting every aspect of global t… [+8569 chars]","the-washington-post","The Washington Post"
"Associated Press","Dozens protest in Jerusalem against police violence","Several dozen people have staged a protest against police violence in Jerusalem following the deadly shooting of a Palestinian man last month","https://www.washingtonpost.com/world/middle_east/dozens-protest-in-jerusalem-against-police-violence/2020/06/09/2dfecadc-aa90-11ea-a43b-be9f6494a87d_story.html","https://www.washingtonpost.com/wp-apps/imrs.php?src=&w=1440","2020-06-09T20:31:22Z","Similar protests were staged in Haifa and Jaffa, the latest in a series of demonstrations against police violence in Israel following Hallaqs death. The shooting has drawn comparisons to the death of… [+1025 chars]","the-washington-post","The Washington Post"
"Julie Zauzmer, Fenit Nirappil","D.C. Council passes police reform legislation, prompted by protests - The Washington Post","<ol><li>D.C. Council passes police reform legislation, prompted by protests  The Washington Post
</li><li>Washington, D.C. approves police reforms after days of protests against racism  Reuters
</li><li>DC Council passes sweeping bill to ban chokeholds, man…","https://www.washingtonpost.com/local/dc-politics/dc-council-police-reform/2020/06/09/c77ae6b0-aa49-11ea-a9d9-a81c1a491c52_story.html","https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/GXN4T2FIF4I6VCMOWINZVA7XSI.jpg&w=1440","2020-06-09T20:30:18Z","The unanimous action, part of a nationwide response to the protest movement, infuriated the D.C. police union yet left activists clamoring for more drastic steps, including a reduction in the police … [+9015 chars]","the-washington-post","The Washington Post"
"Associated Press","Turkey unveils new coronavirus restriction easing plans","Turkey's president has revealed new plans to ease restrictions in place to curb the spread of the coronavirus, including the July 1 reopening of theaters, cinemas and other entertainment centers","https://www.washingtonpost.com/world/europe/turkey-unveils-new-coronavirus-restriction-easing-plans/2020/06/09/5610f636-aa8f-11ea-a43b-be9f6494a87d_story.html","https://www.washingtonpost.com/wp-apps/imrs.php?src=&w=1440","2020-06-09T20:25:19Z","The government is also relaxing restrictions that were in place on the movement of the senior citizens and minors, Erdogan said. People aged 65 and above will now be able to go out everyday between 1… [+1216 chars]","the-washington-post","The Washington Post"
"David Ignatius","It’s up to the states to prevent an Election Day ﬁasco","Expect to see a bitterly divisive post-election period, no matter what.","https://www.washingtonpost.com/opinions/its-up-to-the-states-to-prevent-an-election-day-asco/2020/06/09/83948466-aa7f-11ea-94d2-d7bc43b26bf9_story.html","https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/RUCFQYTC7MI6VCUOLRJTNMZHMA.jpg&w=1440","2020-06-09T20:21:17Z","The voters should have confidence in the system, Andrew Mac Warner, the West Virginia secretary of state, told me during an interview on Tuesday. Warner is a pro-Trump Republican. But hes also a 23-y… [+4537 chars]","the-washington-post","The Washington Post"
"DÁnica Coto | AP","Puerto Rico labor secretary resigns amid unemployment crisis","Puerto Rico's labor secretary has resigned as tens of thousands of unemployed workers have yet to receive financial aid promised months ago amid a pandemic that has deepened the U.S. territory's economic crisis","https://www.washingtonpost.com/world/the_americas/puerto-rico-labor-secretary-resigns-amid-unemployment-crisis/2020/06/09/7c297060-aa8e-11ea-a43b-be9f6494a87d_story.html","https://www.washingtonpost.com/wp-apps/imrs.php?src=&w=1440","2020-06-09T20:19:14Z","Some have been told to arrive in the pre-dawn hours and await their turn, but they fear being arrested for violating a coronavirus curfew that bars everyone except essential workers from being outsid… [+3045 chars]","the-washington-post","The Washington Post"
"Associated Press","Nile countries resume talks over disputed dam after deadlock","Sudanese officials say three key Nile basin countries have resumed negotiations over a giant $4.6 billion hydroelectric dam that Egypt fears will constrict its water supply","https://www.washingtonpost.com/world/africa/nile-countries-resume-talks-over-disputed-dam-after-deadlock/2020/06/09/86d92eac-aa8d-11ea-a43b-be9f6494a87d_story.html","https://www.washingtonpost.com/resizer/2CjPNwqvXHPS_2RpuRTKY-p3eVo=/1484x0/www.washingtonpost.com/pb/resources/img/twp-social-share.png","2020-06-09T20:12:22Z","CAIRO Three key Nile basin countries resumed negotiations on Tuesday over a giant $4.6 billion hydroelectric dam that Egypt fears will constrict its water supply, following months of deadlock, Sudane… [+2217 chars]","the-washington-post","The Washington Post"
"Matthew Cappucci","From 100-degree heat to record cold: Howling winds bring sudden seasonal reversal in West, High Plains","Salt Lake City went from record-setting triple digit heat to record cold in three days","https://www.washingtonpost.com/weather/2020/06/09/100-degree-heat-record-cold-howling-winds-bring-sudden-seasonal-reversal-west-high-plains/","https://www.washingtonpost.com/resizer/PZvboemGIYpNUo0R3hih4RC0qww=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/GKG5EWYO2RF2LIDGUCA334AM2E.png","2020-06-09T20:05:16Z","Summer, fall, winter and spring, or if you were in Salt Lake City the past few days Friday, Saturday, Sunday and Monday.
On Friday, temperatures in Utahs capital city hit the century mark, with the … [+5599 chars]","the-washington-post","The Washington Post"
"Associated Press","4 arrested in slaying of Mayan spiritual guide in Guatemala","Four people have been arrested in connection with the killing of a well-known Mayan spiritual guide and natural medicine expert","https://www.washingtonpost.com/world/the_americas/4-arrested-in-slaying-of-mayan-spiritual-guide-in-guatemala/2020/06/09/3e821822-aa8c-11ea-a43b-be9f6494a87d_story.html","https://www.washingtonpost.com/wp-apps/imrs.php?src=&w=1440","2020-06-09T20:03:12Z","Choc Ché, known as Grandfather Domingo, had participated in a number of scientific research projects on Mayan natural medicine that yielded papers and books in collaboration with universities in Engl… [+575 chars]","the-washington-post","The Washington Post"
"Associated Press","UAE flight lands in Israel with medical aid for Palestinians","Israel's Foreign Ministry says an Etihad Airways cargo plane carrying aid from the United Arab Emirates to help the Palestinians combat the coronavirus pandemic has landed in Israel","https://www.washingtonpost.com/world/middle_east/uae-flight-lands-in-israel-with-medical-aid-for-palestinians/2020/06/09/dfb20926-aa89-11ea-a43b-be9f6494a87d_story.html","https://www.washingtonpost.com/wp-apps/imrs.php?src=&w=1440","2020-06-09T19:46:13Z","Last month, an unmarked Etihad commercial flight carrying medical equipment for the Palestinians landed in Israel the first-ever direct commercial flight between the UAE and Israel.
Israels Foreign … [+1918 chars]","the-washington-post","The Washington Post"
"Maria Cheng | AP","Confusion reigns as UN scrambles mask, virus spread advice","The World Health Organization scrambled on Tuesday to clarify its seemingly contradictory comments in recent days: recommending people wear masks to prevent the spread of the coronavirus from people with no symptoms and then describing such transmission as “v…","https://www.washingtonpost.com/world/europe/confusion-reigns-as-un-scrambles-mask-virus-spread-advice/2020/06/09/176a2ca6-aa88-11ea-a43b-be9f6494a87d_story.html","https://www.washingtonpost.com/wp-apps/imrs.php?src=&w=1440","2020-06-09T19:33:28Z","The confusion and mixed messages only makes controlling the pandemic that much more difficult, experts say.
If you are giving them confusing messages or theyre not convinced about why they should do… [+4705 chars]","the-washington-post","The Washington Post"
"Amber Phillips","What’s keeping Senate Republicans from ditching Trump?","As difficult as life is now for some Senate Republicans, there's very little political advantage in no-man's land","https://www.washingtonpost.com/politics/2020/06/09/whats-keeping-senate-republicans-ditching-trump/","https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/LRFATSFKPAI6VJB3X2PWJFFIPU.jpg&w=1440","2020-06-09T19:26:11Z","Buffalo protester shoved by Police could be an ANTIFA provocateur. 75 year old Martin Gugino was pushed away after appearing to scan police communications in order to black out the equipment. @OANN I… [+5638 chars]","the-washington-post","The Washington Post"
