"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@jdkinder I’m going to draw a face on 5 20kg board bags with our kit in it, sit next to it, and save ourselves a few hundred quid.#ryanair",FALSE,0,"jdkinder",2019-05-04 20:00:07,FALSE,"1124765075330555905","1124765669982179336","57322984","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jbryan47",0,FALSE,FALSE,NA,NA
"@Ryanair can we use a Trunki for our 2yo for his hand luggage?",FALSE,0,"Ryanair",2019-05-04 19:58:06,FALSE,NA,"1124765162857218053","1542862735","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaddieTrewhella",0,FALSE,FALSE,NA,NA
"@jbryan47 True...Easy jet win with 32kg per bag Over 50% better. Cant be long before Ryanair start weighing people next.",FALSE,0,"jbryan47",2019-05-04 19:57:45,FALSE,"1124764013018124289","1124765075330555905","247420322","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jdkinder",0,FALSE,FALSE,NA,NA
"@Ryanair @Lionesses Wonder if you changed his flight without notifying him! Clearly need to be a celeb to get good customer service!!",FALSE,0,"Ryanair",2019-05-04 19:53:33,FALSE,"1124750543115640832","1124764016210055168","1542862735","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WeeMhairi",0,FALSE,FALSE,NA,NA
"@jdkinder Ryanair windsurfing policy.))",FALSE,0,"jdkinder",2019-05-04 19:53:32,FALSE,"1124763749770985473","1124764013018124289","57322984","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jbryan47",0,FALSE,FALSE,NA,NA
"@Jackson_S_D @Ryanair Hope your luggage is within limits...",FALSE,0,"Jackson_S_D",2019-05-04 19:47:58,FALSE,"1124752153560670208","1124762610665185280","320132278","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","krislilley10",0,FALSE,FALSE,NA,NA
"@eleonor3 @Ryanair What happened",FALSE,0,"eleonor3",2019-05-04 19:33:19,FALSE,"1124756321637687296","1124758927277789185","303257099","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paulher02356856",0,FALSE,FALSE,NA,NA
"⇢@AZairBot's 🔥 tip: Ibiza #IBZ ⇔ Valencia #VLC r/t @Ryanair for €20.50 ☛ https://t.co/78FbqzKXFw #ttot #traveltips https://t.co/zJHaKHsYQl",FALSE,0,NA,2019-05-04 19:30:36,FALSE,NA,"1124758242163396608",NA,"<a href=""http://www.azair.com"" rel=""nofollow"">AZair.com Search Engine</a>","AZairBot",0,FALSE,FALSE,NA,NA
"Ridiculous 😥 5 months of emails and chat with @Ryanair  and still got officially nowhere #Ijusthaveasimplequestion
#notahappycustomer",FALSE,1,NA,2019-05-04 19:22:58,FALSE,NA,"1124756321637687296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eleonor3",0,FALSE,FALSE,NA,NA
"How the fuck can a national stadium like Twickenham be so catastrophically disconnected from the city it's bolted o… https://t.co/JAXxYIStdk",FALSE,2,NA,2019-05-04 19:19:51,TRUE,NA,"1124755538166845440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrJamesPorteous",0,FALSE,FALSE,NA,NA
"@Ryanair @Lionesses Ahem! Ex Everton player....",FALSE,0,"Ryanair",2019-05-04 19:17:57,FALSE,"1124750543115640832","1124755056870424576","1542862735","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","graham75s",0,FALSE,FALSE,NA,NA
"@kate_frankie @EscapeLounges @STN_Airport @laffincazza @Ryanair It’s Rimini in Italy 🇮🇹 with a day trip to San Marino 🇸🇲😉 #pttravel",FALSE,0,"kate_frankie",2019-05-04 19:07:17,FALSE,"1124719167821762565","1124752374386630656","1723140660","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Txiki_Tales",0,FALSE,FALSE,NA,NA
"Everyone loves @Ryanair. No announcement at the airport other than a delay. Plane didn't leave Leeds until 20.10 Po… https://t.co/wsDXjvd36g",FALSE,0,NA,2019-05-04 19:06:24,TRUE,NA,"1124752153560670208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jackson_S_D",0,FALSE,FALSE,NA,NA
"RT @JuliaBradbury: This is me having an orgasmic food experience in Murcia!Like the sound of stunning mountain ranges,breath taking cathedr…",FALSE,0,NA,2019-05-04 19:05:31,FALSE,NA,"1124751929068982274",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","memorydrone",2,TRUE,FALSE,NA,NA
"RT @SimonCalder: For the first time ever, the biggest carrier of international passengers from the UK is a foreign airline.
This summer Rya…",FALSE,0,NA,2019-05-04 19:03:58,FALSE,NA,"1124751540986810368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uktravelaura",28,TRUE,FALSE,NA,NA
"@Ryanair @Lionesses I thought he was the pilot with that jacket",FALSE,2,"Ryanair",2019-05-04 19:02:27,FALSE,"1124750543115640832","1124751159078658050","1542862735","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","buddyc00",0,FALSE,FALSE,NA,NA
