"changeType","character","appearance","sceneStart","sceneEnd"
"AddItem","Mary Poppins",98000,7000,180000
"AddItem","Bert",184000,180000,369000
"AddItem","Miss Lark - Old Woman in Park",191000,180000,369000
"AddItem","Dog",195000,180000,369000
"AddItem","The Constable",220000,180000,369000
"AddItem","Mrs. Corry - Old Woman in Park",243000,180000,369000
"AddItem","Miss Persimmon - Old Woman in Park",259000,180000,369000
"AddItem","Mr. Binnacle - Admiral's Servant",378000,369000,539000
"AddItem","Admiral Boom",383000,369000,539000
"AddItem","The Domestic",450000,369000,539000
"AddItem","The Domestic",450000,369000,539000
"AddItem","Katie Nanna",463000,369000,539000
"AddItem","Mrs. Banks",504000,369000,539000
"AddItem","The Domestic",560000,539000,720000
"AddItem","Mr. Binnacle - Admiral's Servant",698000,539000,720000
"AddItem","Admiral Boom",698000,539000,720000
"AddItem","Mr. Binnacle - Admiral's Servant",725000,720000,849000
"AddItem","Admiral Boom",725000,720000,849000
"AddItem","Katie Nanna",758000,720000,849000
"AddItem","The Domestic",780000,720000,849000
"AddItem","Mrs. Banks",787000,720000,849000
"AddItem","Mrs. Banks",850000,849000,1020000
"AddItem","The Constable",904000,849000,1020000
"AddItem","Jane Banks",924000,849000,1020000
"AddItem","Michael Banks",926000,849000,1020000
"AddItem","The Domestic",1000000,849000,1020000
"AddItem","Jane Banks",1115000,1020000,1152000
"AddItem","Michael Banks",1117000,1020000,1152000
"AddItem","Mrs. Banks",1158000,1152000,1305000
"AddItem","Mr. Banks",1158000,1152000,1305000
"AddItem","The Domestic",1337000,1305000,1429000
"AddItem","Mrs. Banks",1342000,1305000,1429000
"AddItem","Mr. Banks",1342000,1305000,1429000
"AddItem","The Domestic",1363000,1305000,1429000
"AddItem","Jane Banks",1373000,1305000,1429000
"AddItem","Michael Banks",1373000,1305000,1429000
"AddItem","Dog",1386000,1305000,1429000
"AddItem","Jane Banks",1436000,1429000,1622000
"AddItem","Michael Banks",1436000,1429000,1622000
"AddItem","Dog",1445000,1429000,1622000
"AddItem","Mr. Banks",1468000,1429000,1622000
"AddItem","The Domestic",1469000,1429000,1622000
"AddItem","The Domestic",1670000,1622000,1695000
"AddItem","Dog",1686000,1622000,1695000
"AddItem","Mary Poppins",2072000,2070000,2224000
"AddItem","Jane Banks",2111000,2070000,2224000
"AddItem","The Domestic",2199000,2070000,2224000
"AddItem","Mary Poppins",2320000,2224000,2410000
"AddItem","Jane Banks",2320000,2224000,2410000
"AddItem","Michael Banks",2320000,2224000,2410000
"AddItem","Jane Banks",2412000,2410000,2509000
"AddItem","Bert",2413000,2410000,2509000
"AddItem","Michael Banks",2413000,2410000,2509000
"AddItem","Lambs",2620000,2546000,2781000
"AddItem","Cow",2625000,2546000,2781000
"AddItem","Barnyard Horse",2625000,2546000,2781000
"AddItem","Ram",2625000,2546000,2781000
"AddItem","Geese",2625000,2546000,2781000
"AddItem","Hog",2654000,2546000,2781000
"AddItem","Turtle",2745000,2546000,2781000
"AddItem","Penguin",2844000,2781000,2915000
"AddItem","Penguin",2844000,2781000,2915000
"AddItem","Penguin",2844000,2781000,2915000
"AddItem","Carousel Guard",3122000,3087000,3205000
"AddItem","Hunting Horse",3207000,3205000,3344000
"AddItem","Huntsman",3207000,3205000,3344000
"AddItem","Horse",3207000,3205000,3344000
"AddItem","Master of Hounds",3207000,3205000,3344000
"AddItem","Mary Poppins",3210000,3205000,3344000
"AddItem","Bert",3210000,3205000,3344000
"AddItem","Fox",3257000,3205000,3344000
"AddItem","Michael Banks",3346000,3344000,3557000
"AddItem","Jane Banks",3347000,3344000,3557000
"AddItem","Bert",3348000,3344000,3557000
"AddItem","Fox",3348000,3344000,3557000
"AddItem","Reporter #1",3404000,3344000,3557000
"AddItem","Reporter #4",3404000,3344000,3557000
"AddItem","Reporter #3",3404000,3344000,3557000
"AddItem","Pearly Drummer",3404000,3344000,3557000
"AddItem","Photographer",3404000,3344000,3557000
"AddItem","Reporter #2",3404000,3344000,3557000
"AddItem","Reporter #5",3404000,3344000,3557000
"AddItem","Mary Poppins",3559000,3557000,3615000
"AddItem","Bert",3559000,3557000,3615000
"AddItem","Pearly Drummer",3559000,3557000,3615000
"AddItem","Jane Banks",3562000,3557000,3615000
"AddItem","Michael Banks",3562000,3557000,3615000
"AddItem","Mary Poppins",3620000,3615000,3827000
"AddItem","Jane Banks",3620000,3615000,3827000
"AddItem","Mrs. Banks",3849000,3827000,4005000
"AddItem","The Domestic",3850000,3827000,4005000
"AddItem","Mr. Banks",3865000,3827000,4005000
"AddItem","The Domestic",3891000,3827000,4005000
"AddItem","Jane Banks",3931000,3827000,4005000
"AddItem","Michael Banks",3931000,3827000,4005000
"AddItem","The Domestic",4009000,4005000,4052000
"AddItem","Michael Banks",4053000,4052000,4253000
"AddItem","Mary Poppins",4054000,4052000,4253000
"AddItem","Jane Banks",4054000,4052000,4253000
"AddItem","Admiral Boom",4076000,4052000,4253000
"AddItem","Mr. Binnacle - Admiral's Servant",4077000,4052000,4253000
"AddItem","Dog",4106000,4052000,4253000
"AddItem","Bert",4184000,4052000,4253000
"AddItem","Uncle Albert",4198000,4052000,4253000
"AddItem","Jane Banks",4254000,4253000,4491000
"AddItem","Michael Banks",4254000,4253000,4491000
"AddItem","Mary Poppins",4493000,4491000,4711000
"AddItem","Bert",4493000,4491000,4711000
"AddItem","Jane Banks",4493000,4491000,4711000
"AddItem","Michael Banks",4493000,4491000,4711000
"AddItem","Uncle Albert",4493000,4491000,4711000
"AddItem","Mr. Binnacle - Admiral's Servant",4715000,4711000,4822000
"AddItem","Admiral Boom",4715000,4711000,4822000
"AddItem","Jane Banks",4734000,4711000,4822000
"AddItem","Michael Banks",4734000,4711000,4822000
"AddItem","Mary Poppins",4762000,4711000,4822000
"AddItem","Mrs. Banks",4783000,4711000,4822000
"AddItem","The Domestic",4799000,4711000,4822000
"AddItem","The Domestic",4799000,4711000,4822000
"AddItem","Mary Poppins",4828000,4822000,5053000
"AddItem","Mrs. Banks",4961000,4822000,5053000
"AddItem","Jane Banks",4984000,4822000,5053000
"AddItem","Michael Banks",4984000,4822000,5053000
"AddItem","The Bird Woman",5118000,5053000,5282000
"AddItem","Mr. Banks",5285000,5282000,5455000
"AddItem","Jane Banks",5287000,5282000,5455000
"AddItem","Michael Banks",5287000,5282000,5455000
"AddItem","The Bird Woman",5299000,5282000,5455000
"AddItem","Lady in the Bank",5360000,5282000,5455000
"AddItem","Depositor",5376000,5282000,5455000
"AddItem","Mr. Dawes Junior",5382000,5282000,5455000
"AddItem","Mr. Grubbs",5385000,5282000,5455000
"AddItem","Mr. Mousley",5385000,5282000,5455000
"AddItem","Mr. Tomes",5385000,5282000,5455000
"AddItem","Mr. Dawes Senior",5404000,5282000,5455000
"AddItem","Mr. Grubbs",5456000,5455000,5697000
"AddItem","Mr. Banks",5465000,5455000,5697000
"AddItem","Mr. Mousley",5514000,5455000,5697000
"AddItem","Mr. Tomes",5514000,5455000,5697000
"AddItem","Bank Doorman",5723000,5697000,5951000
"AddItem","Mr. Dawes Senior",5731000,5697000,5951000
"AddItem","Mr. Grubbs",5731000,5697000,5951000
"AddItem","Jane Banks",5731000,5697000,5951000
"AddItem","Michael Banks",5731000,5697000,5951000
"AddItem","Mr. Mousley",5731000,5697000,5951000
"AddItem","Mr. Dawes Junior",5731000,5697000,5951000
"AddItem","Mr. Tomes",5731000,5697000,5951000
"AddItem","Mr. Banks",5731000,5697000,5951000
"AddItem","Bank Clerk Near Safe",5737000,5697000,5951000
"AddItem","Old Crone",5792000,5697000,5951000
"AddItem","Bert",5809000,5697000,5951000
"AddItem","Woman in Carriage",5972000,5951000,6113000
"AddItem","The Domestic",6023000,5951000,6113000
"AddItem","Mrs. Banks",6023000,5951000,6113000
"AddItem","Mary Poppins",6192000,6113000,6340000
"AddItem","Jane Banks",6432000,6426000,6661000
"AddItem","Michael Banks",6432000,6426000,6661000
"AddItem","Chimney Sweep",6472000,6426000,6661000
"AddItem","Chimney Sweep",6472000,6426000,6661000
"AddItem","Chimney Sweep Dancer",6472000,6426000,6661000
"AddItem","Chimney Sweep",6669000,6661000,6841000
"AddItem","Chimney Sweep",6669000,6661000,6841000
"AddItem","Chimney Sweep Dancer",6669000,6661000,6841000
"AddItem","Mr. Binnacle - Admiral's Servant",6774000,6661000,6841000
"AddItem","Admiral Boom",6774000,6661000,6841000
"AddItem","The Domestic",6857000,6841000,6979000
"AddItem","Jane Banks",6864000,6841000,6979000
"AddItem","Michael Banks",6865000,6841000,6979000
"AddItem","Mary Poppins",6868000,6841000,6979000
"AddItem","Bert",6870000,6841000,6979000
"AddItem","The Domestic",6874000,6841000,6979000
"AddItem","Mrs. Banks",6884000,6841000,6979000
"AddItem","Mr. Banks",6900000,6841000,6979000
"AddItem","The Constable",6947000,6841000,6979000
"AddItem","Mr. Dawes Senior",7021000,6979000,7084000
"AddItem","Mr. Dawes Junior",7021000,6979000,7084000
"AddItem","The Constable",7021000,6979000,7084000
"AddItem","Bert",7064000,6979000,7084000
"AddItem","Bert",7088000,7084000,7315000
"AddItem","Mary Poppins",7339000,7315000,7520000
"AddItem","Bank Doorman",7479000,7315000,7520000
"AddItem","Mr. Dawes Junior",7526000,7520000,7707000
"AddItem","Mr. Dawes Senior",7533000,7520000,7707000
"AddItem","Mr. Grubbs",7533000,7520000,7707000
"AddItem","Mr. Mousley",7533000,7520000,7707000
"AddItem","Mr. Tomes",7533000,7520000,7707000
"AddItem","Mr. Dawes Senior",7708000,7707000,7847000
"AddItem","Mr. Grubbs",7710000,7707000,7847000
"AddItem","Mr. Mousley",7710000,7707000,7847000
"AddItem","Mr. Tomes",7710000,7707000,7847000
"AddItem","Mr. Dawes Junior",7711000,7707000,7847000
"AddItem","Mr. Binnacle - Admiral's Servant",7854000,7847000,8024000
"AddItem","Admiral Boom",7854000,7847000,8024000
"AddItem","Mary Poppins",7859000,7847000,8024000
"AddItem","Jane Banks",7859000,7847000,8024000
"AddItem","Michael Banks",7859000,7847000,8024000
"AddItem","The Constable",7888000,7847000,8024000
"AddItem","Mrs. Banks",7898000,7847000,8024000
"AddItem","The Domestic",7899000,7847000,8024000
"AddItem","The Domestic",7899000,7847000,8024000
"AddItem","Mr. Banks",7926000,7847000,8024000
"AddItem","The Domestic",8045000,8024000,8265000
"AddItem","The Domestic",8045000,8024000,8265000
"AddItem","The Constable",8045000,8024000,8265000
"AddItem","Mary Poppins",8091000,8024000,8265000
"AddItem","Bert",8112000,8024000,8265000
"AddItem","Mr. Dawes Junior",8147000,8024000,8265000
"AddItem","Mr. Grubbs",8148000,8024000,8265000
"AddItem","Mr. Mousley",8148000,8024000,8265000
"AddItem","Mr. Tomes",8148000,8024000,8265000
"AddItem","Dog",8246000,8024000,8265000
