"changeType","character","appearance","sceneStart","sceneEnd"
"AddItem","Vitruvius",50000,34000,151000
"AddItem","Lord Business - (voice)",59000,34000,151000
"AddItem","Robot Foreman",68000,34000,151000
"AddItem","Emmet Brickowoski",157000,151000,596000
"AddItem","President Business - (voice)",248000,151000,596000
"AddItem","Joe",286000,151000,596000
"AddItem","Surfer Dave",286000,151000,596000
"AddItem","Larry The Barrista",335000,151000,596000
"AddItem","Foreman Jim",353000,151000,596000
"AddItem","Gail",379000,151000,596000
"AddItem","Barry",381000,151000,596000
"AddItem","Wyldstyle",444000,151000,596000
"AddItem","Vitruvius",575000,151000,596000
"AddItem","Good Cop",642000,596000,1102000
"AddItem","Barry",719000,596000,1102000
"AddItem","Gail",720000,596000,1102000
"AddItem","Surfer Dave",758000,596000,1102000
"AddItem","Wyldstyle",827000,596000,1102000
"AddItem","President Business - (voice)",1253000,1102000,1626000
"AddItem","Bad Cop",1265000,1102000,1626000
"AddItem","The Man Upstairs",1307000,1102000,1626000
"AddItem","Robot Foreman",1308000,1102000,1626000
"AddItem","Lord Business' Assistant",1346000,1102000,1626000
"AddItem","Good Cop",1378000,1102000,1626000
"AddItem","Pa Cop",1488000,1102000,1626000
"AddItem","Ma Cop",1488000,1102000,1626000
"AddItem","Octan Robot",1529000,1102000,1626000
"AddItem","Wyldstyle",1639000,1626000,2260000
"AddItem","Emmet Brickowoski",1639000,1626000,2260000
"AddItem","Vitruvius",1680000,1626000,2260000
"AddItem","Bad Cop",1932000,1626000,2260000
"AddItem","Batman",2211000,1626000,2260000
"AddItem","Unikitty",2355000,2260000,2935000
"AddItem","Superman",2408000,2260000,2935000
"AddItem","Abraham Lincoln",2409000,2260000,2935000
"AddItem","Green Lantern",2412000,2260000,2935000
"AddItem","Gandalf",2425000,2260000,2935000
"AddItem","Benny",2427000,2260000,2935000
"AddItem","Shaq",2429000,2260000,2935000
"AddItem","Wonder Woman",2431000,2260000,2935000
"AddItem","Shakespeare",2484000,2260000,2935000
"AddItem","Metal Beard",2521000,2260000,2935000
"AddItem","Lord Business' Assistant",2569000,2260000,2935000
"AddItem","Bad Cop",2718000,2260000,2935000
"AddItem","Emmet Brickowoski",2942000,2935000,3480000
"AddItem","Unikitty",2944000,2935000,3480000
"AddItem","Vitruvius",2959000,2935000,3480000
"AddItem","Batman",2959000,2935000,3480000
"AddItem","Wyldstyle",2959000,2935000,3480000
"AddItem","Benny",2959000,2935000,3480000
"AddItem","Bad Cop",3043000,2935000,3480000
"AddItem","Octan Robot",3046000,2935000,3480000
"AddItem","Lord Business - (voice)",3068000,2935000,3480000
"AddItem","Wonder Woman",3068000,2935000,3480000
"AddItem","Superman",3068000,2935000,3480000
"AddItem","Shakespeare",3068000,2935000,3480000
"AddItem","Gandalf",3068000,2935000,3480000
"AddItem","Shaq",3072000,2935000,3480000
"AddItem","Green Lantern",3101000,2935000,3480000
"AddItem","Metal Beard",3186000,2935000,3480000
"AddItem","Han Solo",3371000,2935000,3480000
"AddItem","C-3PO",3378000,2935000,3480000
"AddItem","Lando",3384000,2935000,3480000
"AddItem","Emmet Brickowoski",3482000,3480000,4191000
"AddItem","Vitruvius",3485000,3480000,4191000
"AddItem","Batman",3485000,3480000,4191000
"AddItem","Wyldstyle",3485000,3480000,4191000
"AddItem","Benny",3485000,3480000,4191000
"AddItem","Unikitty",3485000,3480000,4191000
"AddItem","Metal Beard",3486000,3480000,4191000
"AddItem","Computer",3541000,3480000,4191000
"AddItem","Lord Business - (voice)",3591000,3480000,4191000
"AddItem","Bruce Wayne",3594000,3480000,4191000
"AddItem","Robot Foreman",3634000,3480000,4191000
"AddItem","Abraham Lincoln",3638000,3480000,4191000
"AddItem","Gandalf",3638000,3480000,4191000
"AddItem","Bad Cop",3844000,3480000,4191000
"AddItem","Shakespeare",3976000,3480000,4191000
"AddItem","Lord Business - (voice)",4199000,4191000,4442000
"AddItem","Surfer Dave",4207000,4191000,4442000
"AddItem","Larry The Barrista",4215000,4191000,4442000
"AddItem","Emmet Brickowoski",4253000,4191000,4442000
"AddItem","Batman",4255000,4191000,4442000
"AddItem","Benny",4255000,4191000,4442000
"AddItem","Unikitty",4255000,4191000,4442000
"AddItem","Wyldstyle",4268000,4191000,4442000
"AddItem","Vitruvius",4276000,4191000,4442000
"AddItem","Computer",4328000,4191000,4442000
"AddItem","Green Lantern",4415000,4191000,4442000
"AddItem","Gandalf",4415000,4191000,4442000
"AddItem","Wonder Woman",4418000,4191000,4442000
"AddItem","Metal Beard",4421000,4191000,4442000
"AddItem","Superman",4425000,4191000,4442000
"AddItem","Unikitty",4448000,4442000,4664000
"AddItem","Batman",4449000,4442000,4664000
"AddItem","Wyldstyle",4449000,4442000,4664000
