"changeType","character","appearance","sceneStart","sceneEnd"
"AddItem","Benny",4449000,4442000,4664000
"AddItem","Metal Beard",4449000,4442000,4664000
"AddItem","Emmet Brickowoski",4474000,4442000,4664000
"AddItem","Surfer Dave",4483000,4442000,4664000
"AddItem","Gail",4483000,4442000,4664000
"AddItem","Vitruvius",4500000,4442000,4664000
"AddItem","Robot Foreman",4549000,4442000,4664000
"AddItem","Bad Cop",4552000,4442000,4664000
"AddItem","Good Cop",4559000,4442000,4664000
"AddItem","Abraham Lincoln",4626000,4442000,4664000
"AddItem","Shakespeare",4626000,4442000,4664000
"AddItem","Emmet Brickowoski",4673000,4664000,5049000
"AddItem","Finn",4693000,4664000,5049000
"AddItem","The Man Upstairs",4732000,4664000,5049000
"AddItem","Lord Business - (voice)",4839000,4664000,5049000
"AddItem","Metal Beard",4885000,4664000,5049000
"AddItem","Batman",4893000,4664000,5049000
"AddItem","Wyldstyle",4897000,4664000,5049000
"AddItem","Benny",4897000,4664000,5049000
"AddItem","Unikitty",4897000,4664000,5049000
"AddItem","Vitruvius",5033000,4664000,5049000
"AddItem","Lord Business - (voice)",5089000,5049000,5589000
"AddItem","Batman",5099000,5049000,5589000
"AddItem","Wyldstyle",5099000,5049000,5589000
"AddItem","Benny",5099000,5049000,5589000
"AddItem","Metal Beard",5099000,5049000,5589000
"AddItem","Unikitty",5099000,5049000,5589000
"AddItem","President Business - (voice)",5182000,5049000,5589000
"AddItem","The Man Upstairs",5256000,5049000,5589000
"AddItem","Finn",5268000,5049000,5589000
"AddItem","Shakespeare",5528000,5049000,5589000
"AddItem","Good Cop",5529000,5049000,5589000
"AddItem","Gandalf",5530000,5049000,5589000
"AddItem","Vitruvius",5532000,5049000,5589000
"AddItem","Pa Cop",5547000,5049000,5589000
"AddItem","Ma Cop",5547000,5049000,5589000
"AddItem","Superman",5548000,5049000,5589000
"AddItem","Green Lantern",5548000,5049000,5589000
"AddItem","Duplo",5578000,5049000,5589000
"AddItem","Larry The Barrista",5788000,5589000,6046000
"AddItem","Abraham Lincoln",6142000,6046000,7511000
"AddItem","TV Presenter",6203000,6046000,7511000
"AddItem","Emmet Brickowoski",6203000,6046000,7511000
"AddItem","Wyldstyle",6226000,6046000,7511000
"AddItem","Vitruvius",6250000,6046000,7511000
"AddItem","Himself",6525000,6046000,7511000
"AddItem","Herself",6526000,6046000,7511000
"AddItem","Himself",6529000,6046000,7511000
"AddItem","Himself",6555000,6046000,7511000
