"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","topic"
"RT @spokanetom: @ShelbyKStewart @SenatorCollins One day after Sen. Susan Collins (R-ME) announced her decision to vote against removing Pre…",FALSE,0,NA,2020-06-02 03:35:31,FALSE,NA,"1267661095088635905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fknrightchicago",211,TRUE,FALSE,NA,NA,"covid19"
"@moayush established Ayush Sanjivani Mobile  App for assessing the AYUSH based measures adopted by public for enhan… https://t.co/GtDttksIH0",FALSE,0,"moayush",2020-06-02 03:35:31,TRUE,NA,"1267661092500590597","2650295678","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nischennai",0,FALSE,FALSE,NA,NA,"covid19"
"RT @GregAbbott_TX: Today Texas had the fewest #COVID19 fatalities since March 30th.

We also had the fewest Texans testing positive for COV…",FALSE,0,NA,2020-06-02 03:35:28,FALSE,NA,"1267661082564444160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","REDY0TA",1728,TRUE,FALSE,NA,NA,"covid19"
"RT @keithbaldrey: Let's all hope the Canada-US border does not re-open for a very, very, very long time. #COVID19",FALSE,0,NA,2020-06-02 03:35:27,FALSE,NA,"1267661077862477824",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Kristinazzz9191",39,TRUE,FALSE,NA,NA,"covid19"
"@GuerrillaJenica @eloisecommaille @okanesc @RedThen @stevemac1966 @JoeBiden @BarackObama Hold up, he’s the Presiden… https://t.co/NmP5VoQKzH",FALSE,0,"GuerrillaJenica",2020-06-02 03:35:27,TRUE,"1267660547220295681","1267661076944084993","1026543613331873793","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Justin_H_USA",0,FALSE,FALSE,NA,NA,"covid19"
"RT @shenzhenpages: A Happy Children's Day in Shenzhen yesterday with a lot of children playing outside and in the malls. Today, many kinder…",FALSE,0,NA,2020-06-02 03:35:27,FALSE,NA,"1267661075865980929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shenzhenblog",1,TRUE,FALSE,NA,NA,"covid19"
"RT @JamesMelville: A damning report on the UK government’s shambolic handling of the #Covid19 crisis by the British Medical Journal:

“Engl…",FALSE,0,NA,2020-06-02 03:35:25,FALSE,NA,"1267661070560346112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","johnnyjonjonny",1709,TRUE,FALSE,NA,NA,"covid19"
"@olgaNYC1211 Any elected official who isn't calling for the 25th amendment to be invoked is playing politics with o… https://t.co/62jJrYv3NZ",FALSE,0,"olgaNYC1211",2020-06-02 03:35:25,TRUE,"1267651224284921858","1267661070404956160","751283435382067202","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Danamarie1233",0,FALSE,FALSE,NA,NA,"covid19"
"Has everyone completely forgotten about the pandemic aka #COVID19 My ass still in the house. God help us in 2 weeks",FALSE,0,NA,2020-06-02 03:35:25,FALSE,NA,"1267661069331423233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TRC129",0,FALSE,FALSE,NA,NA,"covid19"
"#COVID19 Update 
Total Cases 198706
Active Cases 97581
Discharged 95526
Deaths 5598
#CoronaUpdatesInIndia 
@MoHFW_INDIA",FALSE,0,NA,2020-06-02 03:35:25,FALSE,NA,"1267661068597411846",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","babbarmohit",0,FALSE,FALSE,NA,NA,"covid19"
