"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","topic"
"I want to create a comic where one zombie is trying to survive in a world full of vile humans. If not that, I could… https://t.co/V7Cx8syeR5",FALSE,0,NA,2020-06-03 01:43:45,TRUE,NA,"1267995353678336001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","comicbookcat",0,FALSE,FALSE,NA,NA,"zombie"
"I hope a zombie eats u https://t.co/xoTMzniFox",FALSE,0,NA,2020-06-03 01:43:26,FALSE,NA,"1267995276557475840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","niqueturnal",0,FALSE,FALSE,NA,NA,"zombie"
"@tkwpncfk have you ever be zombie before? good morning oppa! i slept late last night but its enough tho, hbu?",FALSE,0,"tkwpncfk",2020-06-03 01:43:19,FALSE,"1267986147671633920","1267995245536358401","1399323638","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","doyeoneio",0,FALSE,FALSE,NA,NA,"zombie"
"@ta_reine_92 @BTS_twt @BTS_twt 
Zombie - Day6",FALSE,0,"ta_reine_92",2020-06-03 01:43:14,FALSE,"1267985996391514112","1267995225093529600","1084940515647332352","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Un_valle_22",0,FALSE,FALSE,NA,NA,"zombie"
"""Please!"", yelped the vigorous zombie in glasses.",FALSE,0,NA,2020-06-03 01:43:13,FALSE,NA,"1267995221620555776",NA,"<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","mongirl_ebooks",0,FALSE,FALSE,NA,NA,"zombie"
"RT @markbeomnyoung: Jinyoung singing a bit of the chorus of DAY6’s Zombie 😭 

https://t.co/U0hAD6OuH3

#GOT7 #갓세븐 @GOT7Official https://t.c…",FALSE,0,NA,2020-06-03 01:43:03,FALSE,NA,"1267995178318442497",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaybum13",1702,TRUE,FALSE,NA,NA,"zombie"
"RT @ElizabethEThorp: I’ve lived in DC for over twenty years and I’ve never, ever seen any buildings boarded up in anticipation of riots. We…",FALSE,0,NA,2020-06-03 01:42:59,FALSE,NA,"1267995161331740675",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kby1942",32,TRUE,FALSE,NA,NA,"zombie"
"RT @sam_thraxx: these cops were just charged for the crimes they committed in this video. if no one was filming no one would’ve known and t…",FALSE,0,NA,2020-06-03 01:42:58,FALSE,NA,"1267995157548466181",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Zombie_Repelent",13743,TRUE,FALSE,NA,NA,"zombie"
"RT @MsHodl: Today while I worked out I realized my mindset is somewhere in between wanting to get fit for the upcoming zombie apocalypse ..…",FALSE,0,NA,2020-06-03 01:42:41,FALSE,NA,"1267995088317149184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stoutheart11",1,TRUE,FALSE,NA,NA,"zombie"
"RT @Incog: I came home from work to find Justin loudly singing to the tune of Zombie ""in your hair/in your hair/shampoo, shampoo, shampoo/o…",FALSE,0,NA,2020-06-03 01:42:27,FALSE,NA,"1267995026317066240",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","desplewire",1,TRUE,FALSE,NA,NA,"zombie"
"RT @ladyhaja: These protesters in Seattle are literally chanting “we don’t see no riot here, take off your riot gear” &amp; doing nothing else…",FALSE,0,NA,2020-06-03 01:42:17,FALSE,NA,"1267994985842061313",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Zombie_Raygun",30955,TRUE,FALSE,NA,NA,"zombie"
"⚠️
I've decided to do a  giveaway every hundred new followers (mutual)  I will gain💙 of course if it's 500 &amp; 1000 e… https://t.co/75sSGmm0p8",FALSE,0,NA,2020-06-03 01:42:17,TRUE,NA,"1267994984281591810",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eaj_zombie",0,FALSE,FALSE,NA,NA,"zombie"
