"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @1Romans58: Just wanted to point out CNN called in the SWAT team as soon as their office was being damaged. Guess it’s only “protesting”…",FALSE,0,NA,2020-05-30 01:11:07,FALSE,NA,"1266537590984851456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tetragram",220,TRUE,FALSE,NA,NA
"RT @DeAnna4Congress: CNN is eating at the Karma buffet right now? 

Or Did the Black American community finally realize CNN has been duping…",FALSE,0,NA,2020-05-30 01:11:07,FALSE,NA,"1266537590825648130",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Patriotforeever",621,TRUE,FALSE,NA,NA
"RT @TheRightWoke: @atompkins @IngrahamAngle @CNN Here's another angle, trying to rip down CNN sign.
https://t.co/C7aTp5Cj6c",FALSE,0,NA,2020-05-30 01:11:07,FALSE,NA,"1266537590670258177",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","naynayfig",11,TRUE,FALSE,NA,NA
"RT @JackPosobiec: CNN headquarters attacked in Atlanta as crowd cheers  https://t.co/wtxcDd7Pnl",FALSE,0,NA,2020-05-30 01:11:07,FALSE,NA,"1266537590515208192",NA,"<a href=""http://mamarinaccio.com"" rel=""nofollow"">Appformefeedueue</a>","TopDCTweets",221,TRUE,FALSE,NA,NA
"RT @YellowFlashGuy: Tomorrow's spin from @CNN ""it was the remodeling crew we hired.""",FALSE,0,NA,2020-05-30 01:11:07,FALSE,NA,"1266537590309752835",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cspeckenbach",40,TRUE,FALSE,NA,NA
"RT @NationalistTV: CNN is encouraging the riots and they are now getting what they deserve https://t.co/tZ9K9HWQZ5",FALSE,0,NA,2020-05-30 01:11:07,FALSE,NA,"1266537589902913537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Redeemer_In_Me",209,TRUE,FALSE,NA,NA
"@MarchandMusic @EddyElfenbein I disagree.  CNN does suck.  They have an agenda. Both black white and latino reporte… https://t.co/K6KEhPegAH",FALSE,0,"MarchandMusic",2020-05-30 01:11:07,TRUE,"1266534444942286848","1266537589705781250","436965180","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nolordofthine",0,FALSE,FALSE,NA,NA
"RT @CNN: Minnesota police arrest CNN reporter and camera crew as they report from protests in Minneapolis https://t.co/oZdqBti776 https://t…",FALSE,0,NA,2020-05-30 01:11:07,FALSE,NA,"1266537589672226817",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","madelpantera",114658,TRUE,FALSE,NA,NA
"RT @bennyjohnson: CNN HQ in Atlanta getting overrun by leftist protesters that they themselves whipped into a frenzy.

Many are defacing an…",FALSE,0,NA,2020-05-30 01:11:07,FALSE,NA,"1266537589634457601",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mytinx",4454,TRUE,FALSE,NA,NA
"RT @GregRubini: CNN created the Monster. The Leftist Mob.

and now the Monster is destroying CNN.

I say KARMA. https://t.co/nkzBSWhH7L",FALSE,0,NA,2020-05-30 01:11:07,FALSE,NA,"1266537589282127872",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","asia742",284,TRUE,FALSE,NA,NA
"RT @LisaMei62: Protesters at @CNN HQ in Atlanta, GA. https://t.co/QeEGcRpbBz",FALSE,0,NA,2020-05-30 01:11:07,FALSE,NA,"1266537589114273792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","XalimarA",396,TRUE,FALSE,NA,NA
