"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","topic"
"RT @grayfairytail07: ✨Giveaway: Magical Candy Unicorn✨

💠RT to win
💠Ends 22/4, 10pm GMT+8
💠.com only
💠Goodluck! https://t.co/QdWOWZSBfC",FALSE,0,NA,2020-06-03 02:13:23,FALSE,NA,"1268002813533057026",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AreneHabbo",47,TRUE,FALSE,NA,NA,"unicorn"
"RT @AnyaVolz: A huge development at the Manhattan Bridge protest right now https://t.co/rCH0GLDgEe",FALSE,0,NA,2020-06-03 02:13:22,FALSE,NA,"1268002806532673536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lowkey_unicorn",646,TRUE,FALSE,NA,NA,"unicorn"
"The Witcher:
Hindar",FALSE,0,NA,2020-06-03 02:13:18,FALSE,NA,"1268002792112828420",NA,"<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","geralt_unicorn",0,FALSE,FALSE,NA,NA,"unicorn"
"Dude got a Unicorn shirt on and wanna be taken serious. Shut up bitch. https://t.co/e3y27CAOHW",FALSE,0,NA,2020-06-03 02:13:10,FALSE,NA,"1268002757941723136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlexandrRnhrt23",0,FALSE,FALSE,NA,NA,"unicorn"
"@angelicxo3 Well it is the starfrost set :/ and I’m not asking for a unicorn or something more rare then any of the… https://t.co/18Jui7TNpr",FALSE,0,"angelicxo3",2020-06-03 02:13:08,TRUE,"1267951833609273349","1268002748450197505","1250918231973511169","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SGamerboi",0,FALSE,FALSE,NA,NA,"unicorn"
"RT @perrylegion: Organizations Katy Perry donated to: 
- #BlackLivesMatter
- Color of Change
- Marschall Project
- Campaign Zero
- Advancem…",FALSE,0,NA,2020-06-03 02:13:02,FALSE,NA,"1268002725389885440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KATYYPERRYYB",261,TRUE,FALSE,NA,NA,"unicorn"
"RT @TCxxSteph: TW/ police brutality

PLEASE SIGN AND SHARE THIS PETITION. 21 year old Anderson Arboleda was beaten to death by a police off…",FALSE,0,NA,2020-06-03 02:12:46,FALSE,NA,"1268002657463144449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UNICORN_SPRITE",10,TRUE,FALSE,NA,NA,"unicorn"
"If you want in depth coverage &amp; diolouge about what’s happening, and not just constant images of fire/broken window… https://t.co/nAkc8mAydH",FALSE,0,NA,2020-06-03 02:12:45,TRUE,NA,"1268002654837526528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ooCOLORWHEELoo",0,FALSE,FALSE,NA,NA,"unicorn"
"RT @MatthewACherry: Here are some ways to help https://t.co/YPiv9nFT9s",FALSE,0,NA,2020-06-03 02:12:44,FALSE,NA,"1268002649590251527",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fairy__unicorn",59,TRUE,FALSE,NA,NA,"unicorn"
"#unicorn_beacon Entropy for beacon n° 39774 is: ""The quick grey jackal skipped ahead the slow dog and growled: woof, growl.""",FALSE,0,NA,2020-06-03 02:12:31,FALSE,NA,"1268002594775015425",NA,"<a href=""http://trx.epfl.ch/beacon/"" rel=""nofollow"">RandomBeaconBot</a>","RandomBeaconBot",0,FALSE,FALSE,NA,NA,"unicorn"
