"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","topic"
"RT @riccimike: 1. CONTACT TRACING. @MDHealthDept has begun rolling out a statewide campaign to educate Marylanders about the importance of…",FALSE,0,NA,2020-06-03 01:38:04,FALSE,NA,"1267993923106070528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dragonfly091011",10,TRUE,FALSE,NA,NA,"covid19"
"RT @YourAnonCentral: Hospital staff battling #COVID19 comes out to applaud protestors in New York - demonstrators shout back ‘Thank You’. #…",FALSE,0,NA,2020-06-03 01:38:04,FALSE,NA,"1267993923085111299",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Fresa53606158",5030,TRUE,FALSE,NA,NA,"covid19"
"RT @YourAnonCentral: Hospital staff battling #COVID19 comes out to applaud protestors in New York - demonstrators shout back ‘Thank You’. #…",FALSE,0,NA,2020-06-03 01:38:04,FALSE,NA,"1267993922707521537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gardensomething",5030,TRUE,FALSE,NA,NA,"covid19"
"RT @YourAnonCentral: Hospital staff battling #COVID19 comes out to applaud protestors in New York - demonstrators shout back ‘Thank You’. #…",FALSE,0,NA,2020-06-03 01:38:03,FALSE,NA,"1267993921940004866",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KarlaEscoo",5030,TRUE,FALSE,NA,NA,"covid19"
"RT @LMKMovieManiac: #Thala #Ajith has donated the following for #Corona #COVID19 relief,

PM Cares Fund: Rs 50 lakhs 
TN CM Relief Fund: Rs…",FALSE,0,NA,2020-06-03 01:38:03,FALSE,NA,"1267993919012261889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HariKum29909313",1835,TRUE,FALSE,NA,NA,"covid19"
"Health is Wealth
#Lemonjuice does wonders in naturally cooling your body in summer. 
Drink a lot of #lemonwater, it… https://t.co/UZC2MMwON2",FALSE,0,NA,2020-06-03 01:38:03,TRUE,NA,"1267993918664085504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shatrasagri",0,FALSE,FALSE,NA,NA,"covid19"
"What's d  time came?

Insaan insaan ko bhi touch korna pasand nhi kor rehe hain &amp; even not allowed 2

Even mum also… https://t.co/fl7eF2mzA6",FALSE,0,NA,2020-06-03 01:38:02,TRUE,NA,"1267993916307058689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GendrNeutrlLaw",0,FALSE,FALSE,NA,NA,"covid19"
"RT @YourAnonCentral: Hospital staff battling #COVID19 comes out to applaud protestors in New York - demonstrators shout back ‘Thank You’. #…",FALSE,0,NA,2020-06-03 01:38:02,FALSE,NA,"1267993914897772544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rojasjaron",5030,TRUE,FALSE,NA,NA,"covid19"
"RT @YourAnonCentral: Hospital staff battling #COVID19 comes out to applaud protestors in New York - demonstrators shout back ‘Thank You’. #…",FALSE,0,NA,2020-06-03 01:38:02,FALSE,NA,"1267993914658750465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ketsiamarine",5030,TRUE,FALSE,NA,NA,"covid19"
"RT @YourAnonCentral: Hospital staff battling #COVID19 comes out to applaud protestors in New York - demonstrators shout back ‘Thank You’. #…",FALSE,0,NA,2020-06-03 01:38:02,FALSE,NA,"1267993914562056192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZeloZoo",5030,TRUE,FALSE,NA,NA,"covid19"
"RT @YourAnonCentral: Hospital staff battling #COVID19 comes out to applaud protestors in New York - demonstrators shout back ‘Thank You’. #…",FALSE,0,NA,2020-06-03 01:38:02,FALSE,NA,"1267993914402881541",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Doll90Egyptian",5030,TRUE,FALSE,NA,NA,"covid19"
"RT @BBMPCOMM: Karnataka’s handling of #Covid19 crisis has come in for praise from the Prime Minister @narendramodi.

#KarnatakaFightsCorona…",FALSE,0,NA,2020-06-03 01:38:01,FALSE,NA,"1267993913370923008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmilineniS",60,TRUE,FALSE,NA,NA,"covid19"
"RT @YourAnonCentral: Hospital staff battling #COVID19 comes out to applaud protestors in New York - demonstrators shout back ‘Thank You’. #…",FALSE,0,NA,2020-06-03 01:38:01,FALSE,NA,"1267993911177498624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xx__fess__xx",5030,TRUE,FALSE,NA,NA,"covid19"
"RT @MigrantFreedom: ICE transfers have always been dangerous. It rips immigrants away from their loved ones, attorneys, &amp; support.

That IC…",FALSE,0,NA,2020-06-03 01:38:01,FALSE,NA,"1267993910904786945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AsiaRonn",5,TRUE,FALSE,NA,NA,"covid19"
"RT @YourAnonCentral: Hospital staff battling #COVID19 comes out to applaud protestors in New York - demonstrators shout back ‘Thank You’. #…",FALSE,0,NA,2020-06-03 01:38:00,FALSE,NA,"1267993909809971200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alondrax99",5030,TRUE,FALSE,NA,NA,"covid19"
"RT @YourAnonCentral: Hospital staff battling #COVID19 comes out to applaud protestors in New York - demonstrators shout back ‘Thank You’. #…",FALSE,0,NA,2020-06-03 01:38:00,FALSE,NA,"1267993909499588608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mc180021",5030,TRUE,FALSE,NA,NA,"covid19"
"RT @YourAnonCentral: Hospital staff battling #COVID19 comes out to applaud protestors in New York - demonstrators shout back ‘Thank You’. #…",FALSE,0,NA,2020-06-03 01:38:00,FALSE,NA,"1267993909428453377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","poeticprophet16",5030,TRUE,FALSE,NA,NA,"covid19"
