"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","topic"
"RT @JoeTalkShow: Are you trying to tell me that federal, state and local governments that shut down the best economy ever, schools, churche…",FALSE,0,NA,2020-06-01 04:24:13,FALSE,NA,"1267310960638701568",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ButtercupWisdom",278,TRUE,FALSE,NA,NA,"protests2020"
"RT @itstime4change6: posting this before TikTok removes it. Still gonna sit back and say it’s the PEACEFUL PROTESTERS being violent? Wake t…",FALSE,0,NA,2020-06-01 04:24:13,FALSE,NA,"1267310960634736645",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cheerbitter",1840,TRUE,FALSE,NA,NA,"protests2020"
"RT @PopBase: A video has surfaced of police officers vandalizing a store in Chicago to make it look as if though protestors were responsibl…",FALSE,0,NA,2020-06-01 04:24:12,FALSE,NA,"1267310959653269511",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","arianastan24",1486,TRUE,FALSE,NA,NA,"protests2020"
"RT @kirkacevedo: WATCH VIDEO!
A police officer in Union Square
Throws up a white power sign
and giggles with his fellow officer!!

THIS IS…",FALSE,0,NA,2020-06-01 04:24:12,FALSE,NA,"1267310958730493954",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","waldograce",6785,TRUE,FALSE,NA,NA,"protests2020"
"RT @no_silenced: Here we go Trump Supporters....MAGA is protecting their Target store from looters.!!!

We need more of this all over the C…",FALSE,0,NA,2020-06-01 04:24:12,FALSE,NA,"1267310957442760704",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","mats738",85,TRUE,FALSE,NA,NA,"protests2020"
"RT @Youngdaggerdrip: To protect and serve #protests2020 https://t.co/HSCYSPfkR6",FALSE,0,NA,2020-06-01 04:24:12,FALSE,NA,"1267310957384077313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DaddieBugatti",1920,TRUE,FALSE,NA,NA,"protests2020"
"@realDonaldTrump the police are out of control militarized maniacs who enjoy violence. We need to remove them all &amp;… https://t.co/jHsieKo37e",FALSE,0,"realDonaldTrump",2020-06-01 04:24:12,TRUE,NA,"1267310957362987008","25073877","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","DonnyPosner",0,FALSE,FALSE,NA,NA,"protests2020"
"RT @mathiasalmada11: This proves everything #protests2020 #BLACK_LIVES_MATTERS #Anonymous https://t.co/Ty2HFHTXkp",FALSE,0,NA,2020-06-01 04:24:12,FALSE,NA,"1267310957317021697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amemeduhh",2347,TRUE,FALSE,NA,NA,"protests2020"
"RT @Youngdaggerdrip: To protect and serve #protests2020 https://t.co/HSCYSPfkR6",FALSE,0,NA,2020-06-01 04:24:12,FALSE,NA,"1267310957015023616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cherieIime",1920,TRUE,FALSE,NA,NA,"protests2020"
"RT @Youngdaggerdrip: To protect and serve #protests2020 https://t.co/HSCYSPfkR6",FALSE,0,NA,2020-06-01 04:24:12,FALSE,NA,"1267310956624805888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","50shadesofcrack",1920,TRUE,FALSE,NA,NA,"protests2020"
"RT @DRealIlorinBoy: Houston Police Chief Art Acevedo 

“They want people of color to be talked about as being thugs, We built this country…",FALSE,0,NA,2020-06-01 04:24:12,FALSE,NA,"1267310956364914691",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cute__lix",340,TRUE,FALSE,NA,NA,"protests2020"
"RT @donggyunluvsyou: I straight up have signed so many petitions and I swear man if you still arent or being racist why literally leave #BL…",FALSE,0,NA,2020-06-01 04:24:12,FALSE,NA,"1267310955945394178",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","malecsgum_",1,TRUE,FALSE,NA,NA,"protests2020"
"New #CallofDuty Idea 

#CallOfDutyRiotWarfare #Riot2020 
#protests2020",FALSE,0,NA,2020-06-01 04:24:11,FALSE,NA,"1267310955656032256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dusty_booty",0,FALSE,FALSE,NA,NA,"protests2020"
"RT @AhmedBaba_: Houston Police Chief Art Acevedo gives a speech you'd think was from a protestor. THIS is how you do it.

“They want people…",FALSE,0,NA,2020-06-01 04:24:11,FALSE,NA,"1267310955089797120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_DJkillem2170_",2561,TRUE,FALSE,NA,NA,"protests2020"
"RT @AWKWORDrap: During tonight’s #BostonProtests, the cops destroy their own vehicle.

So before you believe the lies about violent Antifa,…",FALSE,0,NA,2020-06-01 04:24:11,FALSE,NA,"1267310955005988864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Karina17949346",275,TRUE,FALSE,NA,NA,"protests2020"
"RT @STAEBERRYKOOK: THIS video right here speaks LOUD. The car in front of them has a white lady sitting inside and the car that was attacke…",FALSE,0,NA,2020-06-01 04:24:11,FALSE,NA,"1267310954632667140",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_Munyya",195,TRUE,FALSE,NA,NA,"protests2020"
"RT @MrTROseBot: You wanna talk about looting?!?
#protests2020 #Anonymous #bostonprotest #DCProtests https://t.co/BAYFr447Ax",FALSE,0,NA,2020-06-01 04:24:11,FALSE,NA,"1267310954112581634",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sydney02932506",665,TRUE,FALSE,NA,NA,"protests2020"
"RT @HKrassenstein: @JoeBiden As Trump cowers in the White House, Joe Biden is actually on the ground where the protests are taking place, e…",FALSE,0,NA,2020-06-01 04:24:11,FALSE,NA,"1267310953739309061",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jclarkcni",1025,TRUE,FALSE,NA,NA,"protests2020"
"My Dear Pakistani,
Please check your facts about chink chinies #China

 #laddakh #protests2020 https://t.co/4YtmdnhYAb",FALSE,0,NA,2020-06-01 04:24:11,FALSE,NA,"1267310953630240769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BullyIndian",0,FALSE,FALSE,NA,NA,"protests2020"
"RT @joeynivans: I can’t post all 5 mins 30 secs of it but my best friend was at the #protests2020 and it’s crazy what the fucking police ar…",FALSE,0,NA,2020-06-01 04:24:11,FALSE,NA,"1267310953479254016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ElizaEs82903952",16,TRUE,FALSE,NA,NA,"protests2020"
"RT @AWKWORDrap: During tonight’s #BostonProtests, the cops destroy their own vehicle.

So before you believe the lies about violent Antifa,…",FALSE,0,NA,2020-06-01 04:24:11,FALSE,NA,"1267310953349222401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","swagbytheeighth",275,TRUE,FALSE,NA,NA,"protests2020"
"RT @MrTROseBot: You wanna talk about looting?!?
#protests2020 #Anonymous #bostonprotest #DCProtests https://t.co/BAYFr447Ax",FALSE,0,NA,2020-06-01 04:24:11,FALSE,NA,"1267310953009344512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dr_Asrat",665,TRUE,FALSE,NA,NA,"protests2020"
"RT @haleys_comet97: This just got deleted but please keep sharing it #BLACK_LIVES_MATTERS #protests2020 #ACAB https://t.co/7FhmzFY3nC",FALSE,0,NA,2020-06-01 04:24:11,FALSE,NA,"1267310952971567104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","luvtoseeit",1045,TRUE,FALSE,NA,NA,"protests2020"
"RT @QuickTake: A row of police cars were set on fire in Grand Rapids, Michigan, as protests against #GeorgeFloyd’s death escalate across th…",FALSE,0,NA,2020-06-01 04:24:11,FALSE,NA,"1267310952925614086",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GodNegus",80,TRUE,FALSE,NA,NA,"protests2020"
"RT @FarukFirat1987: #BREAKING: White House guard house just set on fire!

#GeorgeFloyd #BlackLivesmatter #BlackLifesMatter #BLACK_LIVES_MAT…",FALSE,0,NA,2020-06-01 04:24:11,FALSE,NA,"1267310952891981824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","txcelat",31,TRUE,FALSE,NA,NA,"protests2020"
"RT @PARISDENNARD: If the blood family of #GeorgeFloyd says his brother wasn’t about this type of multi city rioting and looting let’s all s…",FALSE,0,NA,2020-06-01 04:24:11,FALSE,NA,"1267310952854302720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","atishayyjain",378,TRUE,FALSE,NA,NA,"protests2020"
"RT @MrTROseBot: You wanna talk about looting?!?
#protests2020 #Anonymous #bostonprotest #DCProtests https://t.co/BAYFr447Ax",FALSE,0,NA,2020-06-01 04:24:11,FALSE,NA,"1267310952837308418",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","slugwyrm",665,TRUE,FALSE,NA,NA,"protests2020"
