"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @kate01harrison: @SA_Missy @TUIUK @AmericanAir @British_Airways @jonny_trumble Come on @British_Airways help the NHS staff out",FALSE,0,NA,2019-05-04 20:01:54,FALSE,NA,"1124766120232329216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jossettec",1,TRUE,FALSE,NA,NA
"@British_Airways hey, I have a flight tomorrow from JFK to LHR but I'm not allowed to do the online check in. Is th… https://t.co/2MzcGlgM9I",FALSE,0,"British_Airways",2019-05-04 20:00:12,TRUE,NA,"1124765690202927105","18332190","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oscartoledo05",0,FALSE,FALSE,NA,NA
"RT @NathanBenaich: .@British_Airways you just cancelled my international flight 12 hours before departure. Phone lines are closed and the o…",FALSE,0,NA,2019-05-04 19:59:45,FALSE,NA,"1124765576377896961",NA,"<a href=""http://www.flightrefunds.org.uk"" rel=""nofollow"">retweet089000001</a>","Flight_Refunds",1,TRUE,FALSE,NA,NA
"RT @ReneTrevor: @British_Airways I have a question for you BA, why are you taking part in mass forced deportation from the UK, get your pri…",FALSE,0,NA,2019-05-04 19:59:25,FALSE,NA,"1124765494979043329",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Frances86878358",6,TRUE,FALSE,NA,NA
"I'm at British Airways Galleries Lounge in Jamaica, NY https://t.co/uMjokGwXYj",FALSE,0,NA,2019-05-04 19:59:23,FALSE,NA,"1124765485818679296",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","N_Tomi_Trb",0,FALSE,FALSE,NA,NA
"RT @Abuja_Facts: The last international airline, British Airways, has joined the other eleven international airlines operating in ABUJA to…",FALSE,0,NA,2019-05-04 19:58:27,FALSE,NA,"1124765251222888449",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","geetalian",20,TRUE,FALSE,NA,NA
"@British_Airways Thanks, Liz and Linda.  Big relief. We will continue trying to check in.",FALSE,0,"British_Airways",2019-05-04 19:56:20,FALSE,"1124763992751255557","1124764719477338112","18332190","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gtg991z",0,FALSE,FALSE,NA,NA
"@igauravgautam Thanks for the lovely feedback, it's hugely appreciated, Gaurav. I'll make sure this is passed on to… https://t.co/VNmIBk1qKJ",FALSE,0,"igauravgautam",2019-05-04 19:56:00,TRUE,"1124754852402335745","1124764634450407426","72224342","<a href=""http://www.conversocial.com"" rel=""nofollow"">Conversocial</a>","British_Airways",0,FALSE,FALSE,NA,NA
"@leeofthemotts Hi Leeroy, there have been a few hiccups but I've not had this one tonight.  What message are you ge… https://t.co/byigSndqzi",FALSE,0,"leeofthemotts",2019-05-04 19:53:51,TRUE,"1124720563942043650","1124764094534430720","407841790","<a href=""http://www.conversocial.com"" rel=""nofollow"">Conversocial</a>","British_Airways",0,FALSE,FALSE,NA,NA
"@British_Airways Ha ha. You're probably right. However, the flight was A-May-Zing. So thanks to BA anyway. I'll be… https://t.co/Djo2IT8NoJ",FALSE,0,"British_Airways",2019-05-04 19:53:28,TRUE,"1124762748687212544","1124763996832325632","18332190","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","planespotter1",0,FALSE,FALSE,NA,NA
"@gtg991z Hi there. We can confirm your flight to Atlanta on 05 May has not been cancelled. The error has been repor… https://t.co/dC0mYL1DHJ",FALSE,1,"gtg991z",2019-05-04 19:53:27,TRUE,"1124743335296557056","1124763992751255557","84984544","<a href=""http://www.conversocial.com"" rel=""nofollow"">Conversocial</a>","British_Airways",1,FALSE,FALSE,NA,NA
"@FOHeming @British_Airways @HeathrowAirport My favourite 😍",FALSE,1,"FOHeming",2019-05-04 19:52:46,FALSE,"1124762982947401728","1124763821296558081","96434688","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","montannaapril",0,FALSE,FALSE,NA,NA
"@ninjateddy66 Hi, please confirm your full name and Customer Relations case reference, along with 2 of the followin… https://t.co/qS2weXvPUc",FALSE,0,"ninjateddy66",2019-05-04 19:52:42,TRUE,"1124760417803407360","1124763804846321664","543003765","<a href=""http://www.conversocial.com"" rel=""nofollow"">Conversocial</a>","British_Airways",0,FALSE,FALSE,NA,NA
".@British_Airways you just cancelled my international flight 12 hours before departure. Phone lines are closed and… https://t.co/cUxF5itDZQ",FALSE,2,NA,2019-05-04 19:52:10,TRUE,NA,"1124763668812574720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NathanBenaich",1,FALSE,FALSE,NA,NA
"@Lisamc82 That's disappointing, Lisa.  Please DM us your full name and booking reference so that we can pass this o… https://t.co/9dFNH3Qre1",FALSE,0,"Lisamc82",2019-05-04 19:51:52,TRUE,"1124756743827939328","1124763591780048896","21438268","<a href=""http://www.conversocial.com"" rel=""nofollow"">Conversocial</a>","British_Airways",0,FALSE,FALSE,NA,NA
"@British_Airways Hi, couldn't get through on the phone and have sent a DM regarding a booking glitch - hoping a mem… https://t.co/wP1GRs59HV",FALSE,0,"British_Airways",2019-05-04 19:51:31,TRUE,NA,"1124763505238904834","18332190","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","melanie_bright",0,FALSE,FALSE,NA,NA
"RT @ReneTrevor: @British_Airways I have a question for you BA, why are you taking part in mass forced deportation from the UK, get your pri…",FALSE,0,NA,2019-05-04 19:49:55,FALSE,NA,"1124763102233468929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gobrot4",6,TRUE,FALSE,NA,NA
"The @British_Airways #B747 lining up at @HeathrowAirport 

#avgeek https://t.co/z8IDzju0nS",FALSE,10,NA,2019-05-04 19:49:26,FALSE,NA,"1124762982947401728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FOHeming",0,FALSE,FALSE,NA,NA
