"author","title","description","url","urlToImage","publishedAt","content","newsSite","title_description_content"
"Yael Halon","Dr. Michael Baden says George Floyd was dead 'many minutes' before he was transferred to hospital","EXCLUSIVE: George Floyd died ""many minutes"" before he was transferred to a stretcher and taken to a Minneapolis hospital, forensic pathologist Dr. Michael Baden told Sean Hannity Monday.","https://www.foxnews.com/media/dr-michael-baden-george-floyd-autopsy-report","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/image-19.jpg","2020-06-02T02:54:46Z","EXCLUSIVE: 
George Floyd died ""many minutes"" before he was transferred to a stretcher and taken to a Minneapolis hospital, forensic pathologist Dr. Michael Baden told Sean Hannity Monday.
Baden, on… [+3102 chars]","fox-news","Dr. Michael Baden says George Floyd was dead 'many minutes' before he was transferred to hospital EXCLUSIVE: George Floyd died ""many minutes"" before he was transferred to a stretcher and taken to a Minneapolis hospital, forensic pathologist Dr. Michael Baden told Sean Hannity Monday. EXCLUSIVE: 
George Floyd died ""many minutes"" before he was transferred to a stretcher and taken to a Minneapolis hospital, forensic pathologist Dr. Michael Baden told Sean Hannity Monday.
Baden, on… [+3102 chars]"
"Fox 29 Philadelphia","George Floyd unrest: Philadelphia police fire tear gas on crowd trying to block interstate","Hundreds of demonstrators blocked a portion of I-676 near 22nd Street in Philadelphia as protests continued for a third day.","https://www.foxnews.com/us/george-floyd-unrest-philadelphia-police-fire-tear-gas-on-crowd-trying-to-block-interstate","https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/84221030-1792-40e1-84ea-20a8f709f3f9/d0906794-8428-43d3-9951-d46a01d117ce/1280x720/match/image.jpg","2020-06-02T02:42:06Z","Hundreds of demonstrators blocked a portion of I-676 near 22nd Street in Philadelphia as protests continued for a third day.
SKYFOX flew over the scene which showed a protest on the highway after de… [+1127 chars]","fox-news","George Floyd unrest: Philadelphia police fire tear gas on crowd trying to block interstate Hundreds of demonstrators blocked a portion of I-676 near 22nd Street in Philadelphia as protests continued for a third day. Hundreds of demonstrators blocked a portion of I-676 near 22nd Street in Philadelphia as protests continued for a third day.
SKYFOX flew over the scene which showed a protest on the highway after de… [+1127 chars]"
"David Aaro","Coronavirus shutdowns may have ignited rise in STDs, condom hoarding, health experts warn","Health experts in Canada warn that coronavirus-related shutdowns may have resulted in a lack of contraceptives due to condom hoarding, contributing to a potential rise in sexually transmitted diseases, according to a report last Tuesday.","https://www.foxnews.com/health/coronavirus-shutdowns-stds-condom-hoarding","https://static.foxnews.com/foxnews.com/content/uploads/2020/05/iStock-639467544.jpg","2020-06-02T02:36:02Z","Health experts in Canada warn that coronavirus-related shutdowns may have resulted in a lack of contraceptives due to condom hoarding, contributing to a potential rise in sexually transmitted disease… [+2334 chars]","fox-news","Coronavirus shutdowns may have ignited rise in STDs, condom hoarding, health experts warn Health experts in Canada warn that coronavirus-related shutdowns may have resulted in a lack of contraceptives due to condom hoarding, contributing to a potential rise in sexually transmitted diseases, according to a report last Tuesday. Health experts in Canada warn that coronavirus-related shutdowns may have resulted in a lack of contraceptives due to condom hoarding, contributing to a potential rise in sexually transmitted disease… [+2334 chars]"
"Mariah Haas","Music industry holding 'Black Out Tuesday' in response to George Floyd's death","The music industry is planning to go quiet on June 2, for Black Out Tuesday, to hold a day to reflect and implement change in response to the death of George Floyd.","https://www.foxnews.com/entertainment/black-out-tuesday-music-industry-response-george-floyd-death","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/GettyImages-539899190.jpg","2020-06-02T02:26:55Z","The music industry is planning to go quiet on June 2 for Black Out Tuesday to hold a day to reflect and implement change in response to the death of George Floyd.
Black Out Tuesday was organized by … [+3559 chars]","fox-news","Music industry holding 'Black Out Tuesday' in response to George Floyd's death The music industry is planning to go quiet on June 2, for Black Out Tuesday, to hold a day to reflect and implement change in response to the death of George Floyd. The music industry is planning to go quiet on June 2 for Black Out Tuesday to hold a day to reflect and implement change in response to the death of George Floyd.
Black Out Tuesday was organized by … [+3559 chars]"
"Nate Day","Cole Sprouse says he was detained while protesting: ‘This is ABSOLUTELY not a narrative about me’","Cole Sprouse says he is among the protesters who were arrested in Santa Monica, Calif., over the weekend.","https://www.foxnews.com/entertainment/cole-sprouse-detained-protesting-george-floyd-death","https://static.foxnews.com/foxnews.com/content/uploads/2020/04/cole-sprouse.jpg","2020-06-02T02:21:33Z","Cole Sprouse says he is among the protesters who were arrested in Santa Monica, Calif., over the weekend.
The ""Riverdale"" star said on Instagram on Monday that he took to the streets to join protest… [+2657 chars]","fox-news","Cole Sprouse says he was detained while protesting: ‘This is ABSOLUTELY not a narrative about me’ Cole Sprouse says he is among the protesters who were arrested in Santa Monica, Calif., over the weekend. Cole Sprouse says he is among the protesters who were arrested in Santa Monica, Calif., over the weekend.
The ""Riverdale"" star said on Instagram on Monday that he took to the streets to join protest… [+2657 chars]"
"Charles Creitz","Tucker blasts local leaders for letting violence get out of control: 'When the mobs came, they abandoned us'","Tucker Carlson opened his program Monday night by blasting America's political leaders, who he accused of leaving everyday citizens at the mercy of the violent rioters and Antifa activists who have looted, vandalized and burned urban centers throughout the Un…","https://www.foxnews.com/media/tucker-carlson-local-leaders-abandoned-us","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/Video-2020-06-01T211941.550.jpg","2020-06-02T02:19:48Z","Tucker Carlson opened his program Monday night by blasting America's political leaders, who he accused of leaving everyday citizens at the mercy of the violent rioters and Antifa activists who have l… [+3820 chars]","fox-news","Tucker blasts local leaders for letting violence get out of control: 'When the mobs came, they abandoned us' Tucker Carlson opened his program Monday night by blasting America's political leaders, who he accused of leaving everyday citizens at the mercy of the violent rioters and Antifa activists who have looted, vandalized and burned urban centers throughout the Un… Tucker Carlson opened his program Monday night by blasting America's political leaders, who he accused of leaving everyday citizens at the mercy of the violent rioters and Antifa activists who have l… [+3820 chars]"
"Jack Durschlag","Early-morning wakeup call turns out to be 2 alligators fighting outside Florida home: report","The pounding on Susan Geshel’s front door at 6:45 a.m. last Tuesday may have surprised her, but what caused was even more shocking was what caused the noise, a Florida newspaper reported.","https://www.foxnews.com/us/alligators-fighting-outside-florida-home-report","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/GATOR-cropped-954pm.jpg","2020-06-02T02:17:23Z","Get all the latest news on coronavirus and more delivered daily to your inbox. Sign up here.
The pounding on Susan Geshel’s front door at 6:45 a.m. last Tuesday may have surprised her, but what was … [+1908 chars]","fox-news","Early-morning wakeup call turns out to be 2 alligators fighting outside Florida home: report The pounding on Susan Geshel’s front door at 6:45 a.m. last Tuesday may have surprised her, but what caused was even more shocking was what caused the noise, a Florida newspaper reported. Get all the latest news on coronavirus and more delivered daily to your inbox. Sign up here.
The pounding on Susan Geshel’s front door at 6:45 a.m. last Tuesday may have surprised her, but what was … [+1908 chars]"
"Joseph Wulfsohn","CNN's Don Lemon says 'we are teetering on a dictatorship' following Trump's George Floyd address","CNN anchor Don Lemon offered a dire warning to the country following President Trump's Rose Garden address about the George Floyd protests.","https://www.foxnews.com/media/cnn-don-lemon-we-are-teetering-on-a-dictatorship","https://static.foxnews.com/foxnews.com/content/uploads/2020/04/don-lemon-CNN.jpg","2020-06-02T02:12:08Z","CNN anchor Don Lemon offered a dire warning to the country following President Trump's Rose Garden address about the George Floyd protests.
On Monday evening, the president expressed sympathy over t… [+2685 chars]","fox-news","CNN's Don Lemon says 'we are teetering on a dictatorship' following Trump's George Floyd address CNN anchor Don Lemon offered a dire warning to the country following President Trump's Rose Garden address about the George Floyd protests. CNN anchor Don Lemon offered a dire warning to the country following President Trump's Rose Garden address about the George Floyd protests.
On Monday evening, the president expressed sympathy over t… [+2685 chars]"
"David Aaro","Black activists in Minnesota say they're armed to protect black-owned businesses","Black activists in Minnesota were seen arming themselves on Thursday to protect local businesses amid looting and rioting following the death of George Floyd.","https://www.foxnews.com/us/black-activists-theyre-armed-protect-businesses-riots-looting","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/AP20150028149388.jpg","2020-06-02T02:08:55Z","Black activists in Minnesota were seen arming themselves on Thursday to protect local businesses amid the looting and rioting following the death of George Floyd last week.
Floyd, 46, died Monday ni… [+3362 chars]","fox-news","Black activists in Minnesota say they're armed to protect black-owned businesses Black activists in Minnesota were seen arming themselves on Thursday to protect local businesses amid looting and rioting following the death of George Floyd. Black activists in Minnesota were seen arming themselves on Thursday to protect local businesses amid the looting and rioting following the death of George Floyd last week.
Floyd, 46, died Monday ni… [+3362 chars]"
"New York Post","Ivy League-trained lawyer allegedly tried to pass out firebombs to protesters","The two attorneys busted for throwing a Molotov cocktail through a police car window during protests in Brooklyn early Saturday were trying to pass out the incendiary devices to demonstrators in the crowd, federal authorities said Monday.","https://www.foxnews.com/us/ivy-league-trained-lawyer-allegedly-tried-to-pass-out-firebombs-to-protesters","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/colinford-mattis.jpg","2020-06-02T02:08:28Z","The two attorneys busted for throwing a Molotov cocktail through a police car window during protests in Brooklyn early Saturday were trying to pass out the incendiary devices to demonstrators in the … [+1292 chars]","fox-news","Ivy League-trained lawyer allegedly tried to pass out firebombs to protesters The two attorneys busted for throwing a Molotov cocktail through a police car window during protests in Brooklyn early Saturday were trying to pass out the incendiary devices to demonstrators in the crowd, federal authorities said Monday. The two attorneys busted for throwing a Molotov cocktail through a police car window during protests in Brooklyn early Saturday were trying to pass out the incendiary devices to demonstrators in the … [+1292 chars]"
"Yael Halon","Victor Davis Hanson rips authorities for trying to 'contextualize,' apologize' and 'approve' violence","Historian and Hoover Institution senior fellow Victor Davis Hanson suggested on ""Tucker Carlson Tonight"" Monday that Democratic leaders who have failed to deescalate riots and looting in their cities have done so in the hope that ""this disaster would succeed …","https://www.foxnews.com/media/victor-davis-hanson-authorities-contextualize-apologize-violence","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/image-18.jpg","2020-06-02T01:54:52Z","Historian and Hoover Institution senior fellow Victor Davis Hanson suggested on ""Tucker Carlson Tonight"" Monday that Democratic leaders who have failed to deescalate riots and looting in their cities… [+1975 chars]","fox-news","Victor Davis Hanson rips authorities for trying to 'contextualize,' apologize' and 'approve' violence Historian and Hoover Institution senior fellow Victor Davis Hanson suggested on ""Tucker Carlson Tonight"" Monday that Democratic leaders who have failed to deescalate riots and looting in their cities have done so in the hope that ""this disaster would succeed … Historian and Hoover Institution senior fellow Victor Davis Hanson suggested on ""Tucker Carlson Tonight"" Monday that Democratic leaders who have failed to deescalate riots and looting in their cities… [+1975 chars]"
"Jack Durschlag","Citizen patrols to back up officers will hinder peace efforts, police say","A citizen movement to embellish police in their efforts to control protesters by organizing armed patrols will instead be a hindrance, a Midwestern police force spokesman said Monday.","https://www.foxnews.com/us/citizens-patrols-back-up-police-will-hinder","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/rapidcitypolice-cropped-923pm.jpg","2020-06-02T01:52:10Z","A citizen movement to aid police in their efforts to control protesters by organizing armed patrols will be a hindrance, a Midwestern police force spokesman said Monday.
“We appreciate any support f… [+3251 chars]","fox-news","Citizen patrols to back up officers will hinder peace efforts, police say A citizen movement to embellish police in their efforts to control protesters by organizing armed patrols will instead be a hindrance, a Midwestern police force spokesman said Monday. A citizen movement to aid police in their efforts to control protesters by organizing armed patrols will be a hindrance, a Midwestern police force spokesman said Monday.
“We appreciate any support f… [+3251 chars]"
"Associated Press","NBA star Trae Young speaks at peaceful protest in Oklahoma","NBA All-Star Trae Young spoke at a peaceful protest of racial injustice and police brutality in his hometown on Monday.","https://www.foxnews.com/sports/nba-star-trae-young-speaks-at-peaceful-protest-in-oklahoma","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/AP20153797444398.jpg","2020-06-02T01:38:20Z","NBA All-Star Trae Young spoke at a peaceful protest of racial injustice and police brutality in his hometown on Monday.
Young, the former University of Oklahoma star who now plays for the Atlanta Ha… [+1959 chars]","fox-news","NBA star Trae Young speaks at peaceful protest in Oklahoma NBA All-Star Trae Young spoke at a peaceful protest of racial injustice and police brutality in his hometown on Monday. NBA All-Star Trae Young spoke at a peaceful protest of racial injustice and police brutality in his hometown on Monday.
Young, the former University of Oklahoma star who now plays for the Atlanta Ha… [+1959 chars]"
"Associated Press","Boxer Floyd Mayweather to pay for George Floyd's funeral","Former boxing champion Floyd Mayweather has offered to pay for George Floyd’s funeral and memorial services, and the family has accepted the offer.","https://www.foxnews.com/sports/boxer-floyd-mayweather-to-pay-for-george-floyds-funeral","https://static.foxnews.com/foxnews.com/content/uploads/2018/09/Mayweather-Maidana-Bo_Vros-1.jpg","2020-06-02T01:22:07Z","Former boxing champion Floyd Mayweather has offered to pay for George Floyd’s funeral and memorial services, and the family has accepted the offer.
Mayweather personally has been in touch with the f… [+1381 chars]","fox-news","Boxer Floyd Mayweather to pay for George Floyd's funeral Former boxing champion Floyd Mayweather has offered to pay for George Floyd’s funeral and memorial services, and the family has accepted the offer. Former boxing champion Floyd Mayweather has offered to pay for George Floyd’s funeral and memorial services, and the family has accepted the offer.
Mayweather personally has been in touch with the f… [+1381 chars]"
NA,"George Floyd protests around the world","The recent killing of George Floyd in Minneapolis has led to protests in many countries around the world","https://www.foxnews.com/world/george-floyd-protests-around-the-world","https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/d91aa374-547c-422a-8725-9e09140b9e9d/9bf5df2a-6e25-4954-bd6d-bb618df2388a/1280x720/match/image.jpg","2020-06-02T01:16:14Z","This material may not be published, broadcast, rewritten,
 or redistributed. ©2020 FOX News Network, LLC. All rights reserved.
 All market data delayed 20 minutes.","fox-news","George Floyd protests around the world The recent killing of George Floyd in Minneapolis has led to protests in many countries around the world This material may not be published, broadcast, rewritten,
 or redistributed. ©2020 FOX News Network, LLC. All rights reserved.
 All market data delayed 20 minutes."
"Brian Flood","FOX Corporation CEO Lachlan Murdoch urges colleagues to 'closely listen to the voices of peaceful protest' amid George Floyd unrest","Fox Corporation Executive Chairman and CEO Lachlan Murdoch expressed shock and sadness over the tragic death of George Floyd in a memo to staffers Monday in which he urged colleagues to ""grieve with the Floyd family, closely listen to the voices of peaceful p…","https://www.foxnews.com/media/lachlan-murdoch-george-floyd-peaceful-protest","https://static.foxnews.com/foxnews.com/content/uploads/2019/05/Lachlan-Murdoch-Top.jpg","2020-06-02T01:12:47Z","Fox Corporation Executive Chairman and CEO Lachlan Murdoch expressed shock and sadness over the tragic death of George Floyd in a memo to staffers Monday in which he urged colleagues to ""grieve with … [+2776 chars]","fox-news","FOX Corporation CEO Lachlan Murdoch urges colleagues to 'closely listen to the voices of peaceful protest' amid George Floyd unrest Fox Corporation Executive Chairman and CEO Lachlan Murdoch expressed shock and sadness over the tragic death of George Floyd in a memo to staffers Monday in which he urged colleagues to ""grieve with the Floyd family, closely listen to the voices of peaceful p… Fox Corporation Executive Chairman and CEO Lachlan Murdoch expressed shock and sadness over the tragic death of George Floyd in a memo to staffers Monday in which he urged colleagues to ""grieve with … [+2776 chars]"
"Associated Press","Former Auburn football coach Pat Dye dies at 80","College Football Hall of Famer Pat Dye, who took over a downtrodden Auburn football program in 1981 and turned it into a Southeastern Conference power, died Monday. He was 80.","https://www.foxnews.com/sports/former-auburn-football-coach-pat-dye-dies-at-80","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/AP20153654971776.jpg","2020-06-02T01:11:38Z","College Football Hall of Famer Pat Dye, who took over a downtrodden Auburn football program in 1981 and turned it into a Southeastern Conference power, died Monday. He was 80.
Lee County Coroner Bil… [+4510 chars]","fox-news","Former Auburn football coach Pat Dye dies at 80 College Football Hall of Famer Pat Dye, who took over a downtrodden Auburn football program in 1981 and turned it into a Southeastern Conference power, died Monday. He was 80. College Football Hall of Famer Pat Dye, who took over a downtrodden Auburn football program in 1981 and turned it into a Southeastern Conference power, died Monday. He was 80.
Lee County Coroner Bil… [+4510 chars]"
"Bradford Betz","California liquor store owner uses AR-15 to protect his property from looters in George Floyd unrest","A California liquor store owner kept his business safe from looters in Santa Monica after standing in front of the establishment armed with an AR-15.","https://www.foxnews.com/us/california-liquor-store-owner-uses-ar-15-to-protect-his-property-from-looters-in-george-floyd-unrest","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/AP20153673549206-1.jpg","2020-06-02T01:05:51Z","A California liquor store owner stood in front of his business in Santa Monica armed with an AR-15 to discourage looters, he said.
The looting in Santa Monica came amid nationwide unrest sparked by … [+1051 chars]","fox-news","California liquor store owner uses AR-15 to protect his property from looters in George Floyd unrest A California liquor store owner kept his business safe from looters in Santa Monica after standing in front of the establishment armed with an AR-15. A California liquor store owner stood in front of his business in Santa Monica armed with an AR-15 to discourage looters, he said.
The looting in Santa Monica came amid nationwide unrest sparked by … [+1051 chars]"
"Nate Day","Pink shuts down All Lives Matter commenters on Instagram: 'You don’t even hear yourself'","Pink is making her position clear.","https://www.foxnews.com/entertainment/pink-shuts-down-all-lives-matter-supporters-instagram","https://static.foxnews.com/foxnews.com/content/uploads/2019/11/Pink-CMA-2019.jpg","2020-06-02T00:58:37Z","Pink is making her position clear.
On Sunday, the singer shared part of a statement originally written by Billie Eilish on Instagram, knocking the All Lives Matter movement.
""IF I HEAR ONE MORE WHI… [+2242 chars]","fox-news","Pink shuts down All Lives Matter commenters on Instagram: 'You don’t even hear yourself' Pink is making her position clear. Pink is making her position clear.
On Sunday, the singer shared part of a statement originally written by Billie Eilish on Instagram, knocking the All Lives Matter movement.
""IF I HEAR ONE MORE WHI… [+2242 chars]"
"Daniel Canova","Alex Bregman: 'If hating the KKK loses me fans, then I hope I lose them'","Houston Astros third baseman Alex Bregman expressed his views on the countrywide protests against social injustice during an exchange with people on Twitter on Monday.","https://www.foxnews.com/sports/alex-bregman-says-if-hating-the-kkk-loses-me-fans-then-i-hope-i-lose-them","https://static.foxnews.com/foxnews.com/content/uploads/2018/12/AlexBregmanAlexTrautwigMLBPhotosviaGettyImages.jpg","2020-06-02T00:58:24Z","Houston Astros third baseman Alex Bregman expressed his views on the countrywide protests in the aftermath of George Floyd's death during an exchange with people on Twitter on Monday.
Bregman was as… [+895 chars]","fox-news","Alex Bregman: 'If hating the KKK loses me fans, then I hope I lose them' Houston Astros third baseman Alex Bregman expressed his views on the countrywide protests against social injustice during an exchange with people on Twitter on Monday. Houston Astros third baseman Alex Bregman expressed his views on the countrywide protests in the aftermath of George Floyd's death during an exchange with people on Twitter on Monday.
Bregman was as… [+895 chars]"
"Bradford Betz","Omaha bar owner who shot, killed protester won't face charges, county attorney says","A white Omaha bar owner who shot and killed a black protester over the weekend will not be facing charges after prosecutors determined he had acted in self-defense, a county attorney said Monday.","https://www.foxnews.com/us/omaha-bar-owner-who-shot-killed-protester-wont-face-charges-county-attorney-says","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/Hive-Bar-Omaha.jpg","2020-06-02T00:54:09Z","A white Omaha bar owner who shot and killed a black protester over the weekend will not be facing charges after prosecutors determined he had acted in self-defense, a county attorney said Monday. 
D… [+1533 chars]","fox-news","Omaha bar owner who shot, killed protester won't face charges, county attorney says A white Omaha bar owner who shot and killed a black protester over the weekend will not be facing charges after prosecutors determined he had acted in self-defense, a county attorney said Monday. A white Omaha bar owner who shot and killed a black protester over the weekend will not be facing charges after prosecutors determined he had acted in self-defense, a county attorney said Monday. 
D… [+1533 chars]"
"Louis Casiano","George Floyd unrest: Cities face new looting amid stronger National Guard response, curfews","Cities across the country started seeing new looting on Monday night as nationwide demonstrations over the death of George Floyd in Minneapolis escalated out of control yet again, and as President Trump vowed a tougher federal response.","https://www.foxnews.com/us/george-floyd-riots-looting-national-guard-curfews","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/AP20151292407146.jpg","2020-06-02T00:52:08Z","Cities across the country started seeing new looting on Monday night as nationwide demonstrations over the death of George Floyd in Minneapolis escalated out of control yet again, and as President Tr… [+5193 chars]","fox-news","George Floyd unrest: Cities face new looting amid stronger National Guard response, curfews Cities across the country started seeing new looting on Monday night as nationwide demonstrations over the death of George Floyd in Minneapolis escalated out of control yet again, and as President Trump vowed a tougher federal response. Cities across the country started seeing new looting on Monday night as nationwide demonstrations over the death of George Floyd in Minneapolis escalated out of control yet again, and as President Tr… [+5193 chars]"
"Yael Halon","Sen. Tim Scott praises Trump's 'heartfelt' Rose Garden remarks, says reparations not 'the right approach'","Sen. Tim Scott, R-S.C., expressed opposition to Black Entertainment Television founder Robert Johnson's call for the payment of $14 trillion in reparations to African-Americans, telling  ""The Story"" Monday that such payments would likely lead to ""more eruptio…","https://www.foxnews.com/media/tim-scott-praises-trump-heartfelt-remarks-reparations","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/image-17.jpg","2020-06-02T00:51:47Z","Sen. Tim Scott, R-S.C., told ""The Story"" Monday that he opposed Black Entertainment Television founder Robert Johnson's call for paying $14 trillion in slavery reparations to African-Americans, sayin… [+2133 chars]","fox-news","Sen. Tim Scott praises Trump's 'heartfelt' Rose Garden remarks, says reparations not 'the right approach' Sen. Tim Scott, R-S.C., expressed opposition to Black Entertainment Television founder Robert Johnson's call for the payment of $14 trillion in reparations to African-Americans, telling  ""The Story"" Monday that such payments would likely lead to ""more eruptio… Sen. Tim Scott, R-S.C., told ""The Story"" Monday that he opposed Black Entertainment Television founder Robert Johnson's call for paying $14 trillion in slavery reparations to African-Americans, sayin… [+2133 chars]"
"Nate Day","Katherine Heigl on discussing George Floyd's death with her daughter: 'How will I explain the unexplainable?'","Katherine Heigl has a challenge ahead of her.","https://www.foxnews.com/entertainment/katherine-heigl-george-floyd-death-daughter-discussion","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/Katherine-Heigl.jpg","2020-06-02T00:35:16Z","Katherine Heigl has a challenge ahead of her.
Heigl, 41, shares three children with husband Josh Kelley, including an 8-year-old daughter, Adalaide, who is adopted and black.
The former ""Grey's Ana… [+4579 chars]","fox-news","Katherine Heigl on discussing George Floyd's death with her daughter: 'How will I explain the unexplainable?' Katherine Heigl has a challenge ahead of her. Katherine Heigl has a challenge ahead of her.
Heigl, 41, shares three children with husband Josh Kelley, including an 8-year-old daughter, Adalaide, who is adopted and black.
The former ""Grey's Ana… [+4579 chars]"
"Charles Creitz","St. John's Church rector on aftermath of fire, impromptu Trump visit: 'Like I'm in some alternative universe","Rev. Robert Fisher, the rector of St. John's Episcopal Church in Washington D.C. -- located in Lafayette Square near the White House -- told ""The Story"" Monday that whoever set fire to the basement of the church's parish hall Sunday night does not represent t…","https://www.foxnews.com/media/st-johns-rector-fire-impromptu-trump-visit","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/Video-2020-06-01T193140.455.jpg","2020-06-02T00:25:03Z","Rev. Robert Fisher, the rector of St. John's Episcopal Church in Washington D.C. -- located in Lafayette Square near the White House -- told ""The Story"" Monday that whoever set fire to the basement o… [+1725 chars]","fox-news","St. John's Church rector on aftermath of fire, impromptu Trump visit: 'Like I'm in some alternative universe Rev. Robert Fisher, the rector of St. John's Episcopal Church in Washington D.C. -- located in Lafayette Square near the White House -- told ""The Story"" Monday that whoever set fire to the basement of the church's parish hall Sunday night does not represent t… Rev. Robert Fisher, the rector of St. John's Episcopal Church in Washington D.C. -- located in Lafayette Square near the White House -- told ""The Story"" Monday that whoever set fire to the basement o… [+1725 chars]"
"Daniel Canova","Former Indiana football player shot, killed during George Floyd riots in Indianapolis","Former Indiana University football player Chris Beaty was shot and killed on the street in downtown Indianapolis on Saturday night during one of the many riots across the country in the aftermath of George Floyd’s death.","https://www.foxnews.com/sports/chris-beaty-indiana-football-killed-george-floyd-indianapolis-riots","https://static.foxnews.com/foxnews.com/content/uploads/2020/05/indiana-university-helmet-Getty-Images.jpg","2020-06-02T00:17:26Z","Former Indiana University football player Chris Beaty was shot and killed on the street in downtown Indianapolis on Saturday night during one of the many riots across the country in the aftermath of … [+1643 chars]","fox-news","Former Indiana football player shot, killed during George Floyd riots in Indianapolis Former Indiana University football player Chris Beaty was shot and killed on the street in downtown Indianapolis on Saturday night during one of the many riots across the country in the aftermath of George Floyd’s death. Former Indiana University football player Chris Beaty was shot and killed on the street in downtown Indianapolis on Saturday night during one of the many riots across the country in the aftermath of … [+1643 chars]"
"Mariah Haas","Queen Elizabeth pictured for the first time outside since coronavirus quarantine","Queen Elizabeth II was pictured horseback riding on the grounds of Windsor Castle over the weekend in snapshots shared by the official Royal Family account on Sunday.","https://www.foxnews.com/entertainment/queen-elizabeth-pictured-outside-first-time-coronavirus-quarantine","https://static.foxnews.com/foxnews.com/content/uploads/2019/12/QueenElizabethGettyImagesSamir-HusseinWireImage.jpg","2020-06-02T00:13:15Z","Get the latest news on coronavirus and more delivered daily to your inbox. Sign up here.
Queen Elizabeth II was pictured horseback riding on the grounds of Windsor Castle over the weekend in snapsho… [+2475 chars]","fox-news","Queen Elizabeth pictured for the first time outside since coronavirus quarantine Queen Elizabeth II was pictured horseback riding on the grounds of Windsor Castle over the weekend in snapshots shared by the official Royal Family account on Sunday. Get the latest news on coronavirus and more delivered daily to your inbox. Sign up here.
Queen Elizabeth II was pictured horseback riding on the grounds of Windsor Castle over the weekend in snapsho… [+2475 chars]"
"Charles Creitz","Pennsylvania Gov. Wolf on George Floyd protests: Rallies 'absolutely called for,' violence is not","Pennsylvania Gov. Tom Wolf reacted Monday to both the violent and nonviolent protests that occurred across the Commonwealth in the wake of George Floyd's death.","https://www.foxnews.com/politics/pennsylvania-tom-wolf-george-floyd-protests-rallies-violence","https://static.foxnews.com/foxnews.com/content/uploads/2020/04/wolf.jpg","2020-06-02T00:11:52Z","Pennsylvania Gov. Tom Wolf reacted Monday to the violent and nonviolent protests that have unfolded across the Commonwealth in the wake of George Floyd's death, saying, ""We need to deescalate the vio… [+2804 chars]","fox-news","Pennsylvania Gov. Wolf on George Floyd protests: Rallies 'absolutely called for,' violence is not Pennsylvania Gov. Tom Wolf reacted Monday to both the violent and nonviolent protests that occurred across the Commonwealth in the wake of George Floyd's death. Pennsylvania Gov. Tom Wolf reacted Monday to the violent and nonviolent protests that have unfolded across the Commonwealth in the wake of George Floyd's death, saying, ""We need to deescalate the vio… [+2804 chars]"
"Wyatt DobrovichFago","Harris Faulkner On Unrest In America: “Moments Like These Don’t Create Us, They Reveal Us”","Harris Faulkner, Host of Outnumbered Overtime with Harris Faulkner talked with Fox News Radio's Guy Benson about the protests over the death of George Floyd throughout the Nation. Faulkner Saying, ""You know, we don't talk about in this country. We don't talk …","https://radio.foxnews.com/2020/06/01/harris-faulkner-on-unrest-in-america-moments-like-these-dont-create-us-they-reveal-us/","https://radio.foxnews.com/wp-content/uploads/2020/06/694940094001_5793745227001_5793732789001-vs.jpg","2020-06-02T00:08:47Z","Harris Faulkner, Host of Outnumbered Overtime with Harris Faulkner talked with Fox News Radio's Guy Benson about the protests over the death of George Floyd throughout the Nation. Faulkner Saying, ""Y… [+575 chars]","fox-news","Harris Faulkner On Unrest In America: “Moments Like These Don’t Create Us, They Reveal Us” Harris Faulkner, Host of Outnumbered Overtime with Harris Faulkner talked with Fox News Radio's Guy Benson about the protests over the death of George Floyd throughout the Nation. Faulkner Saying, ""You know, we don't talk about in this country. We don't talk … Harris Faulkner, Host of Outnumbered Overtime with Harris Faulkner talked with Fox News Radio's Guy Benson about the protests over the death of George Floyd throughout the Nation. Faulkner Saying, ""Y… [+575 chars]"
