"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @BlueTsunami5: @MollyJongFast He also said we'd have a vaccine before the election. That he'd limit casualties to 40-50k Americans. That…",FALSE,0,NA,2020-12-29 16:16:09,FALSE,NA,"1343953966791585792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CauliF",2,TRUE,FALSE,NA,NA
"RT @rhowardbrowne: It’s 11.11am on the 29th December 2020 and Kamala just got the vaccine 💉 

Still waiting on her to relinquish her Senate…",FALSE,0,NA,2020-12-29 16:16:09,FALSE,NA,"1343953966468657152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRightMelissa",8,TRUE,FALSE,NA,NA
"RT @fawfulfan: Remember that week or so when everyone in the media decided to pretend Kamala Harris was an antivaxxer, just because she sai…",FALSE,0,NA,2020-12-29 16:16:09,FALSE,NA,"1343953965705293831",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","badvibesnochill",12,TRUE,FALSE,NA,NA
"RT @CNNPolitics: Vice President-elect Kamala Harris receives her first dose of the Moderna Covid-19 vaccine https://t.co/ST2gHv79Q2 https:/…",FALSE,0,NA,2020-12-29 16:16:09,FALSE,NA,"1343953965310992387",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MATHEWSNINAN",63,TRUE,FALSE,NA,NA
"RT @NewsHour: WATCH LIVE: Vice President-elect Kamala Harris receives COVID-19 vaccine https://t.co/ZsqoZJOfiC",FALSE,0,NA,2020-12-29 16:16:09,FALSE,NA,"1343953965138944001",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bamalonghair",29,TRUE,FALSE,NA,NA
"RT @nytimes: South Africa will help produce a promising Covid-19 vaccine. But in a stark example of inequity, the first doses will all be s…",FALSE,0,NA,2020-12-29 16:16:09,FALSE,NA,"1343953964233089024",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","newyorknewart",4,TRUE,FALSE,NA,NA
"CNN's @KristenhCNN reporting on the reasons behind the slow pace of vaccine administration:
- Lags in reporting (bu… https://t.co/mL1BGDHe9V",FALSE,0,NA,2020-12-29 16:16:09,TRUE,NA,"1343953963859791872",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bhrenton",0,FALSE,FALSE,NA,NA
"@SenSanders It would help me through having covid being off from work paying my bills while not making money from m… https://t.co/Ae8EqK1HAy",FALSE,0,"SenSanders",2020-12-29 16:16:08,TRUE,"1343952354853453825","1343953962102378508","29442313","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dubbynegativy",0,FALSE,FALSE,NA,NA
"RT @nytimes: South Africa will help produce a promising Covid-19 vaccine. But in a stark example of inequity, the first doses will all be s…",FALSE,0,NA,2020-12-29 16:16:08,FALSE,NA,"1343953961313828864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NickFor46",4,TRUE,FALSE,NA,NA
"""The self-reported likelihood of getting a #COVID19 vaccine declined from 74% in April to 56% in December 2020""

Li… https://t.co/PY51mhcOne",FALSE,0,NA,2020-12-29 16:16:08,TRUE,NA,"1343953960944603138",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rkwadhera",0,FALSE,FALSE,NA,NA
"🕊️unless my job forces me, I remain vaccine free🕊️",FALSE,0,NA,2020-12-29 16:16:08,FALSE,NA,"1343953960361586689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ur8oy8lu",0,FALSE,FALSE,NA,NA
